[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/02/2018,12:35:11
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\chamber curly no rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0081614,12:35:41,34.00,33.97,33.98,33.99,33.99,34.01,33.97,33.98,33.99,33.99,33.98,33.99,33.99,33.92,34.00,34.00,33.99,33.99,34.02,30.00,34.00,34.01,30.68,34.00,33.98,34.01,34.00,34.00,34.02,33.98,33.98,33.99,33.97,33.98,154.4,66.2,145.0,136.0,151.0,141.2,150.3,152.3,136.4,142.0,157.2,171.1,144.8,133.1,153.4,55.5,100.1,64.1,35.9,0.0,82.6,29.5,0.0,84.4,68.2,71.9,68.5,69.6,110.7,90.1,121.5,92.2,171.1,175.4,15.66,15.64,15.68,53.0,0.0,0.13,0.00,0.00,0.00,,
60.0232614,12:36:11,34.00,33.98,33.99,33.98,34.00,33.99,33.98,33.97,33.98,33.99,33.98,33.97,33.97,33.96,33.99,34.02,33.99,33.98,34.02,30.03,33.99,33.99,30.67,34.01,34.02,34.02,34.00,34.00,34.00,33.97,33.98,33.98,33.97,33.99,153.8,63.2,142.7,134.9,147.6,141.1,148.6,153.9,139.8,143.8,158.9,175.6,147.1,128.1,153.0,50.3,100.7,64.5,25.5,0.0,86.5,29.9,0.0,83.8,74.0,68.9,68.5,70.0,113.4,96.0,124.0,96.6,170.9,174.2,15.65,15.63,15.67,53.0,0.0,0.13,0.00,0.00,0.00,,
90.0373673,12:36:41,33.99,34.00,33.98,33.98,33.99,33.98,33.97,33.97,33.98,33.98,33.98,33.97,33.98,33.94,33.97,33.97,33.99,33.99,33.99,29.99,33.98,34.00,30.64,34.01,33.98,34.00,33.99,33.99,34.01,33.99,33.99,33.99,34.00,33.98,157.2,62.7,145.6,135.4,149.9,143.4,150.9,154.2,140.7,143.1,159.6,176.0,148.8,128.7,157.2,52.7,100.8,64.9,30.9,0.0,86.5,30.7,0.0,84.4,69.8,70.7,69.6,70.5,112.7,96.3,125.0,99.3,175.9,175.2,15.64,15.63,15.65,53.2,0.0,0.12,0.00,0.00,0.00,,
120.0504722,12:37:11,34.00,34.01,33.98,33.97,33.98,33.98,33.98,33.97,33.98,33.97,33.99,33.98,33.98,33.95,33.98,33.99,34.00,34.01,34.00,30.01,33.99,34.01,30.66,34.00,34.00,33.99,34.00,34.00,34.00,34.00,33.99,33.99,33.97,33.99,154.2,61.6,144.2,137.1,153.4,142.4,150.7,154.3,141.0,145.2,157.2,176.1,148.5,131.6,156.4,57.2,99.8,63.6,32.4,0.0,86.5,33.3,0.0,84.6,72.3,72.3,69.2,69.7,115.3,94.3,124.1,98.8,172.7,174.8,15.63,15.61,15.64,53.2,0.0,0.13,0.00,0.00,0.00,,
150.065579,12:37:41,34.00,34.01,33.99,33.97,33.98,33.99,33.98,33.97,33.97,33.99,33.98,33.98,33.98,33.97,33.98,33.99,34.00,33.99,34.03,30.01,33.99,34.00,30.66,34.00,34.03,33.97,33.98,34.00,34.01,33.99,34.01,34.01,33.99,33.99,154.9,60.4,146.2,136.6,153.2,142.6,151.1,155.0,141.6,145.8,159.7,174.5,149.0,131.1,157.9,54.8,100.3,63.7,21.9,0.0,84.7,31.9,0.0,84.3,72.8,76.2,71.2,71.1,110.3,96.2,123.4,96.6,173.2,174.4,15.62,15.60,15.63,53.3,0.0,0.13,0.00,0.00,0.00,,
180.081676,12:38:11,33.99,34.01,33.98,33.98,33.98,33.97,33.98,33.97,33.98,33.98,33.99,33.98,33.97,33.98,33.98,33.99,33.99,34.00,34.00,30.01,34.00,34.00,30.66,34.00,33.99,34.00,33.99,34.00,33.99,34.00,34.00,34.00,34.02,34.01,154.5,59.2,146.3,136.1,153.5,144.1,149.9,154.9,143.0,146.8,158.8,175.0,149.5,129.0,157.3,55.4,101.3,62.6,31.5,0.0,82.5,32.0,0.0,84.7,70.6,71.0,70.4,70.8,111.2,95.4,124.8,95.3,171.5,174.6,15.60,15.59,15.61,53.4,0.0,0.13,0.00,0.00,0.00,,
210.0947771,12:38:41,34.00,34.01,33.99,33.97,33.98,33.98,33.98,33.98,33.97,33.97,33.99,33.98,33.98,33.96,33.98,33.99,34.00,34.00,34.00,30.02,34.00,34.00,30.65,34.00,34.00,33.98,33.99,33.99,34.01,33.99,33.99,34.00,34.01,34.00,155.7,59.4,146.4,137.7,152.5,144.3,150.4,154.8,143.8,147.1,159.0,175.6,149.9,131.4,158.8,56.1,100.8,62.8,33.1,0.0,87.0,31.7,0.0,84.6,72.4,73.3,73.3,70.0,114.1,96.7,124.5,97.1,173.4,175.0,15.59,15.58,15.60,53.5,0.0,0.12,0.00,0.00,0.00,,
240.1108763,12:39:11,34.00,34.02,33.99,33.98,33.98,33.99,33.99,33.99,33.97,33.98,33.99,33.98,33.98,33.98,33.99,33.97,34.00,33.99,34.00,30.01,34.00,34.01,30.64,34.00,33.98,33.97,34.00,33.99,33.99,34.00,34.00,33.99,33.98,33.99,153.8,59.2,146.3,138.1,153.3,143.6,150.1,155.1,142.4,146.5,158.0,174.1,150.1,129.5,156.9,53.6,99.9,64.4,31.0,0.0,84.4,33.1,0.0,84.3,64.3,74.7,71.1,70.6,114.4,93.7,124.0,98.0,174.0,174.1,15.58,15.57,15.58,53.5,0.0,0.13,0.00,0.00,0.00,,
270.1229771,12:39:41,34.01,34.01,33.98,33.99,33.98,33.98,33.99,33.98,33.98,33.98,33.99,33.99,33.99,33.98,33.99,33.98,34.00,33.97,34.01,30.00,33.99,33.99,30.65,34.00,33.98,33.98,34.01,33.99,34.00,34.00,33.99,33.98,34.01,34.00,153.7,58.6,146.3,137.6,154.3,145.1,150.4,155.4,143.1,146.8,158.3,175.8,150.0,128.7,157.8,56.0,100.7,65.7,26.0,0.0,83.9,31.0,0.0,84.8,69.3,72.2,69.0,70.9,114.1,97.4,123.5,97.0,173.8,175.0,15.57,15.56,15.57,53.5,0.0,0.13,0.00,0.00,0.00,,
