[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/02/2018,10:17:31
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\chamber straight no rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,10:18:01,34.02,34.04,34.03,34.03,34.03,34.02,34.04,34.03,34.02,34.04,34.03,34.05,34.03,34.03,34.05,34.00,34.01,34.00,34.03,30.06,34.00,34.01,30.27,34.00,33.98,34.03,34.00,34.01,34.01,34.05,34.04,34.01,34.02,34.00,144.8,54.2,143.7,142.8,147.4,149.1,157.6,148.6,146.8,158.0,151.5,161.7,145.1,124.1,150.2,59.3,114.0,74.1,37.2,0.0,86.1,38.9,0.0,87.4,78.7,73.5,84.0,71.2,118.8,92.7,125.5,97.1,188.3,180.7,15.00,14.74,15.25,33.9,0.0,0.08,0.00,0.00,0.00,,
60.0289054,10:18:31,34.03,34.05,34.04,34.02,34.03,34.02,34.04,34.04,34.03,34.04,34.04,34.06,34.04,34.01,34.06,34.02,34.02,34.03,34.01,30.07,33.94,34.01,30.28,34.00,34.01,34.00,34.00,34.01,34.02,33.99,34.04,34.03,34.01,34.01,143.2,52.7,140.2,143.7,144.6,147.5,154.5,148.3,143.7,155.4,149.8,158.5,142.4,125.0,148.4,57.5,111.2,73.1,33.6,0.0,89.0,35.4,0.0,87.0,81.8,78.1,82.5,69.1,116.6,99.2,121.9,93.7,184.3,178.0,15.01,14.76,15.27,33.9,0.0,0.09,0.00,0.00,0.00,,
90.0433581,10:19:01,34.01,34.03,34.03,34.00,34.02,34.01,34.04,34.02,34.02,34.03,34.02,34.04,34.03,34.00,34.03,34.01,34.01,34.01,33.98,30.07,34.03,34.02,30.29,34.00,33.99,34.00,34.02,34.01,34.03,34.00,34.02,34.03,34.08,34.02,144.2,53.5,141.6,146.3,146.3,147.9,154.9,149.4,144.5,156.6,150.3,160.5,144.7,127.7,150.2,58.2,113.3,72.6,39.6,0.0,88.1,36.5,0.0,86.3,83.3,70.2,81.4,71.3,114.8,101.2,123.7,92.4,168.2,176.6,15.03,14.78,15.29,33.9,0.0,0.08,0.00,0.00,0.00,,
120.0578109,10:19:31,33.99,34.03,34.01,33.98,34.01,34.00,34.01,34.01,34.01,34.03,34.00,34.03,34.02,34.00,34.01,34.03,34.01,34.02,34.00,30.03,34.00,34.00,30.28,34.00,34.05,33.98,34.02,34.01,34.02,34.03,34.00,34.02,33.98,34.02,146.7,53.9,144.4,149.2,147.5,148.0,158.9,149.5,145.6,155.5,154.1,161.3,143.6,127.5,151.8,57.1,112.7,72.5,37.3,0.0,87.1,37.4,0.0,87.0,72.6,73.1,79.8,68.7,115.2,97.3,127.7,93.0,183.0,176.9,15.05,14.80,15.30,33.8,0.0,0.11,0.00,0.00,0.00,,
150.0722636,10:20:01,33.97,34.03,33.99,33.97,34.00,33.99,33.98,33.99,34.01,34.02,33.98,34.01,34.00,34.00,33.99,33.99,34.01,34.01,34.02,30.06,34.03,34.00,30.28,34.00,34.01,34.02,33.99,34.00,33.99,33.99,34.00,34.01,34.01,34.01,150.6,53.5,148.2,152.8,149.4,150.2,162.7,152.0,147.0,157.1,157.6,164.7,146.9,125.2,155.2,60.7,113.4,71.9,31.5,0.0,82.6,36.4,0.0,86.1,79.5,69.0,81.9,71.2,120.6,103.3,128.4,94.8,180.3,179.6,15.06,14.81,15.31,33.8,0.0,0.11,0.00,0.00,0.00,,
180.0867163,10:20:31,33.98,34.02,33.98,33.97,33.99,33.99,33.99,33.99,34.00,34.01,33.98,34.00,34.00,33.98,33.99,34.01,34.00,34.00,34.03,30.06,34.01,34.00,30.28,34.00,33.99,34.02,34.00,34.00,34.01,34.04,34.01,34.01,34.00,34.02,150.5,53.7,149.0,154.4,150.8,149.8,162.1,152.6,147.7,158.0,158.6,165.7,147.4,129.7,156.8,58.1,113.6,72.5,36.0,0.0,90.9,39.3,0.0,86.0,76.1,69.1,81.3,70.1,112.8,95.9,125.1,91.6,178.3,175.2,15.07,14.83,15.31,33.7,0.0,0.11,0.00,0.00,0.00,,
210.101169,10:21:01,33.99,34.02,33.98,33.97,33.99,33.99,33.99,33.99,34.00,34.01,34.00,34.00,34.00,34.00,33.98,34.01,34.00,34.02,34.04,30.02,33.98,34.00,30.29,34.00,34.01,34.00,34.01,34.00,34.00,33.98,34.01,34.01,34.04,34.04,149.7,53.4,149.1,154.8,149.5,148.5,162.6,153.6,147.7,156.7,157.1,165.3,147.7,127.9,157.1,57.9,113.2,72.0,34.3,0.0,86.2,37.9,0.0,84.9,85.9,74.7,82.6,72.2,110.0,100.7,129.1,91.0,169.4,173.8,15.08,14.84,15.31,33.6,0.0,0.11,0.00,0.00,0.00,,
240.1156217,10:21:31,33.99,34.02,33.98,33.98,33.99,33.99,33.99,33.99,33.99,34.02,34.00,33.98,34.00,34.01,33.99,34.00,34.01,34.02,34.03,30.05,34.00,34.00,30.29,34.00,34.02,33.97,34.01,34.00,34.03,33.99,34.01,34.00,34.04,34.03,150.1,53.9,148.9,155.0,151.1,150.9,161.4,154.9,149.3,157.1,155.4,168.4,147.3,128.2,158.0,59.9,112.9,72.5,29.9,0.0,86.0,37.5,0.0,85.7,78.9,69.6,80.5,69.2,117.5,97.9,125.5,93.2,173.3,172.8,15.08,14.85,15.31,33.6,0.0,0.11,0.00,0.00,0.00,,
270.1300744,10:22:01,33.99,34.02,33.99,33.98,33.99,33.99,34.00,33.99,34.00,34.00,34.00,33.98,33.99,34.01,33.99,34.00,34.00,34.00,33.98,30.05,34.00,34.01,30.29,34.00,34.01,33.99,34.01,34.00,34.02,33.99,34.01,34.00,34.02,34.02,150.1,53.1,148.0,153.7,150.6,150.9,160.9,154.9,147.4,157.8,154.4,170.8,149.0,128.5,158.3,59.9,112.0,72.1,35.2,0.0,87.6,36.9,0.0,85.7,80.2,73.2,80.3,71.8,114.2,100.6,125.7,92.3,170.4,173.8,15.08,14.86,15.30,33.5,0.0,0.11,0.00,0.00,0.00,,
