[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/02/2018,14:57:38
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\chamber very curly.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0141744,14:58:08,33.99,34.01,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.01,34.00,34.00,34.00,33.99,34.01,34.00,34.00,34.00,33.97,30.03,34.01,34.00,30.61,33.99,33.98,33.97,34.00,34.00,34.01,34.01,34.00,34.00,34.02,34.00,151.9,59.9,145.7,139.7,150.3,147.7,151.0,152.0,143.6,145.5,157.6,170.8,148.4,128.3,151.7,58.2,96.4,66.4,26.7,0.0,84.8,31.6,0.0,86.1,70.9,67.6,68.8,69.8,111.8,92.5,118.2,91.9,167.6,176.2,15.48,15.51,15.45,53.6,0.0,0.13,0.00,0.00,0.00,,
60.0292762,14:58:39,34.00,34.01,34.00,34.00,33.99,34.00,34.00,34.00,34.00,34.00,34.00,34.01,34.00,33.99,34.01,34.00,34.00,33.99,34.00,30.03,34.00,34.00,30.62,34.00,33.99,34.00,34.01,34.00,33.99,34.02,33.99,34.00,33.99,34.01,153.0,58.7,146.0,140.3,150.5,146.1,150.5,151.7,144.5,146.1,155.9,171.5,149.1,128.3,150.7,58.0,97.4,68.0,22.9,0.0,85.5,31.9,0.0,86.3,65.4,67.9,66.6,69.9,111.2,93.0,117.7,93.3,172.5,175.7,15.48,15.51,15.45,53.6,0.0,0.13,0.00,0.00,0.00,,
90.0443712,14:59:09,34.01,34.01,34.00,34.00,34.00,34.00,34.00,34.00,34.01,34.01,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.00,34.00,30.03,33.99,34.00,30.61,33.99,34.02,33.99,34.00,34.00,34.02,34.00,33.99,34.00,34.01,34.00,150.8,59.4,146.5,141.1,151.3,147.9,151.4,152.7,142.7,145.9,157.5,171.0,149.2,128.3,151.0,57.3,98.1,67.8,28.8,0.0,79.0,31.1,0.0,86.3,66.5,71.6,69.2,70.3,111.4,92.9,119.7,94.7,170.7,175.3,15.48,15.52,15.45,53.7,0.0,0.13,0.00,0.00,0.00,,
120.0584625,14:59:39,34.00,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.00,34.01,34.00,34.00,34.00,34.01,34.00,34.00,34.00,34.00,34.00,30.00,33.98,34.01,30.61,34.00,34.00,34.00,34.00,34.00,34.01,33.99,33.99,34.00,33.98,34.00,151.2,59.4,146.0,140.1,152.1,147.1,151.0,152.6,142.6,145.7,156.9,171.0,149.7,128.5,153.3,57.8,97.7,67.4,28.5,0.0,83.5,31.0,0.0,85.3,71.2,73.0,69.9,70.2,116.5,93.9,119.9,92.7,174.7,175.8,15.48,15.51,15.45,53.6,0.0,0.13,0.00,0.00,0.00,,
150.0735609,15:00:09,34.01,34.00,34.00,34.00,34.01,34.00,33.99,34.00,34.00,34.01,33.99,34.00,33.99,34.00,33.98,34.00,34.00,34.00,34.01,30.03,34.02,33.99,30.61,34.00,33.99,34.02,34.00,34.01,33.98,34.00,33.99,34.01,34.03,34.00,150.8,59.9,146.7,140.8,151.8,148.4,152.3,153.6,143.8,143.9,159.2,171.3,149.0,127.2,154.5,58.2,97.9,66.8,27.6,0.0,85.3,30.7,0.0,85.0,65.2,71.8,69.7,70.5,115.8,95.2,119.8,93.4,168.4,175.8,15.48,15.51,15.45,53.7,0.0,0.13,0.00,0.00,0.00,,
180.0876601,15:00:39,33.99,34.00,33.99,33.99,34.00,33.99,33.99,33.99,34.00,34.00,33.99,34.01,33.99,33.98,33.98,34.00,34.00,33.99,34.01,30.04,34.00,33.99,30.61,34.00,33.99,34.00,34.00,34.00,34.00,33.98,34.00,33.99,34.00,34.00,152.1,59.8,148.8,140.5,151.9,149.1,154.0,152.9,144.6,145.5,160.6,171.7,150.6,128.5,155.2,58.5,97.4,67.6,26.6,0.0,85.8,32.5,0.0,86.4,70.9,72.8,69.7,71.5,110.0,93.3,118.7,93.5,175.7,175.9,15.48,15.51,15.44,53.6,0.0,0.13,0.00,0.00,0.00,,
210.1017498,15:01:09,33.99,34.00,34.00,34.00,34.02,34.00,33.99,34.00,34.00,33.99,34.00,34.01,34.00,34.01,34.00,34.00,34.00,34.00,34.00,30.02,34.00,34.00,30.61,34.00,33.99,34.00,33.98,34.01,34.01,34.01,33.98,34.01,33.98,33.99,153.8,59.9,148.0,141.3,152.0,147.4,153.1,153.5,144.9,145.1,157.9,170.9,149.6,127.4,153.2,56.3,97.5,68.0,34.1,0.0,84.9,31.6,0.0,85.8,69.7,70.2,68.7,70.0,111.1,100.5,118.8,91.9,169.9,175.4,15.47,15.51,15.44,53.8,0.0,0.13,0.00,0.00,0.00,,
240.1188455,15:01:39,34.00,34.00,34.00,33.99,34.00,34.00,33.98,34.00,34.00,34.01,34.00,34.00,34.00,34.00,34.00,33.99,34.00,34.00,34.00,30.01,34.01,34.00,30.61,34.00,33.99,34.00,34.00,33.99,34.00,33.97,34.00,34.01,33.98,34.00,152.1,60.5,149.6,140.3,151.6,148.2,152.2,152.9,144.6,145.1,157.2,172.5,147.4,128.0,153.0,58.1,97.4,67.7,28.9,0.0,85.2,31.2,0.0,85.2,68.8,70.8,68.1,70.0,111.1,91.5,120.1,92.0,175.5,174.3,15.47,15.51,15.44,53.8,0.0,0.13,0.00,0.00,0.00,,
270.1309434,15:02:09,34.01,34.00,34.00,33.99,34.00,33.99,33.99,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.03,30.02,33.98,34.00,30.61,34.00,33.99,33.98,34.01,34.00,34.00,34.01,33.99,34.00,33.98,33.99,151.3,59.7,148.5,142.0,151.5,148.7,152.4,153.3,143.9,144.2,158.8,172.7,149.1,126.9,153.0,58.2,98.8,69.2,30.2,0.0,87.3,31.8,0.0,85.8,68.6,78.1,68.8,70.7,108.0,91.0,119.8,93.5,166.2,175.6,15.47,15.50,15.43,53.7,0.0,0.13,0.00,0.00,0.00,,
