[Test Data]
Format 2
Experiment Type:,dry
Test Date:,27/02/2018,09:38:40
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\curly brushed.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,09:39:10,34.04,34.12,34.00,34.00,34.01,34.00,34.01,34.00,34.01,34.01,34.00,34.00,34.01,34.03,34.01,34.01,34.01,34.01,34.01,30.85,33.99,34.01,31.48,34.00,34.03,34.00,34.00,34.00,34.02,33.99,34.00,34.00,33.99,34.01,111.9,51.2,118.5,110.7,105.5,114.8,121.2,109.7,114.4,126.5,122.5,132.3,117.3,99.4,115.7,37.0,92.5,52.8,30.7,0.0,61.2,21.4,0.0,60.8,66.0,56.4,64.1,51.5,97.2,79.6,97.5,68.0,169.1,159.5,20.40,20.50,20.30,46.5,0.0,0.20,0.00,0.00,0.00,,
60.0289054,09:39:40,34.02,34.10,34.00,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.00,33.99,34.01,34.01,34.01,34.00,34.00,34.00,34.00,30.83,34.00,34.01,31.47,34.00,34.00,33.97,34.00,34.00,34.01,33.99,34.01,34.00,34.00,34.00,110.5,49.7,118.7,111.1,106.9,114.2,120.7,110.5,114.5,126.9,122.0,133.3,116.8,100.8,117.4,37.5,91.3,53.4,31.3,0.0,61.6,23.5,0.0,60.5,66.4,55.9,63.5,51.3,103.2,78.2,100.8,69.6,172.5,158.9,20.39,20.49,20.29,46.6,0.0,0.20,0.00,0.00,0.00,,
90.0433582,09:40:10,34.02,34.08,34.00,34.00,34.00,34.00,34.00,34.00,34.00,33.99,34.00,33.99,34.01,34.00,34.00,34.00,34.00,34.00,34.01,30.82,33.99,34.01,31.48,34.00,33.97,34.00,34.00,34.00,33.95,33.99,34.00,34.00,34.01,34.01,111.1,50.6,118.1,112.3,107.1,115.5,122.4,111.7,114.5,127.0,122.8,134.3,117.3,102.0,118.3,36.9,93.2,54.7,32.6,0.0,59.6,22.1,0.0,60.8,69.3,56.1,62.4,52.1,105.8,81.0,96.7,70.2,171.1,158.5,20.38,20.49,20.27,46.6,0.0,0.23,0.00,0.00,0.00,,
120.0734109,09:40:40,34.01,34.08,34.00,34.00,33.99,34.00,34.01,34.00,34.00,34.00,34.00,33.99,34.01,33.99,34.00,33.99,34.00,34.00,34.03,30.83,33.98,34.00,31.50,34.00,33.98,34.00,33.99,34.00,34.02,34.01,34.00,33.99,34.01,33.99,111.5,50.4,118.9,113.4,108.2,116.7,122.4,110.5,114.4,127.7,122.6,134.2,116.5,103.8,116.8,35.7,93.1,53.8,29.4,0.0,64.8,21.3,0.0,61.0,66.1,54.8,63.8,51.3,95.2,81.4,98.2,69.8,171.4,161.0,20.36,20.48,20.24,46.8,0.0,0.22,0.00,0.00,0.00,,
150.0878636,09:41:10,34.00,34.06,34.00,33.99,33.98,34.00,34.00,34.00,34.00,34.00,34.00,33.99,34.00,34.01,33.99,34.01,33.99,34.00,34.00,30.82,34.02,34.00,31.50,33.99,33.98,34.00,33.99,34.00,33.98,33.99,33.99,34.00,34.02,33.99,112.7,50.9,119.9,113.6,109.8,117.4,121.8,111.6,114.9,127.6,122.9,132.7,117.4,103.6,119.6,37.9,92.6,53.8,28.6,0.0,66.7,21.0,0.0,62.1,65.0,55.3,64.2,51.1,105.3,85.7,98.9,70.8,169.2,162.0,20.34,20.46,20.22,46.9,0.0,0.22,0.00,0.00,0.00,,
180.1023163,09:41:40,34.00,34.04,34.00,33.99,34.00,33.99,33.99,34.00,33.99,33.99,34.00,33.99,34.00,34.01,33.99,34.00,33.99,34.00,33.98,30.81,33.97,34.00,31.50,34.00,33.98,34.01,34.00,34.01,33.99,33.99,34.00,33.99,33.99,33.99,113.6,50.9,120.2,114.8,110.1,116.9,122.8,111.8,114.9,128.1,122.8,134.5,118.2,100.4,118.4,38.3,94.5,54.5,30.3,0.0,62.8,22.4,0.0,61.2,64.2,56.5,64.1,51.6,106.1,81.2,99.0,70.5,171.9,161.1,20.33,20.45,20.21,46.9,0.0,0.22,0.00,0.00,0.00,,
210.1167691,09:42:10,34.00,34.05,33.99,33.99,33.99,34.01,33.99,34.00,34.00,33.99,34.00,33.99,33.99,34.02,33.99,34.00,33.99,34.00,33.99,30.81,33.99,33.99,31.51,34.00,34.00,33.98,34.00,34.00,34.03,34.02,34.00,33.99,33.98,33.99,113.3,49.7,122.2,114.7,106.5,117.1,125.0,111.9,114.5,129.1,124.1,133.3,119.0,100.1,118.9,38.1,93.0,54.3,27.8,0.0,60.1,22.6,0.0,61.3,70.2,57.6,63.4,51.8,106.5,78.8,99.2,71.1,168.8,161.1,20.32,20.44,20.20,46.8,0.0,0.20,0.00,0.00,0.00,,
240.1312218,09:42:41,34.01,34.04,33.98,33.99,33.99,34.00,33.99,33.99,33.99,34.00,33.99,34.00,33.99,33.99,33.99,34.00,33.99,34.00,33.99,30.80,33.99,34.00,31.52,34.00,33.99,34.01,34.00,34.00,34.01,34.02,33.99,34.00,33.99,33.99,113.9,51.2,122.3,114.5,110.0,116.6,124.3,112.9,116.1,128.7,124.5,132.9,119.0,103.2,119.6,37.0,94.0,54.8,27.8,0.0,61.6,21.4,0.0,60.5,71.7,53.8,64.6,52.1,98.6,82.2,100.0,71.8,171.7,161.7,20.32,20.44,20.19,46.8,0.0,0.20,0.00,0.00,0.00,,
270.1456745,09:43:11,33.99,34.03,33.99,33.99,34.00,34.00,34.00,33.99,34.00,33.99,33.99,33.99,34.00,33.99,34.00,33.99,33.99,33.99,34.00,30.81,34.01,34.01,31.52,34.01,33.97,34.01,33.99,34.00,33.98,33.96,34.00,33.99,33.96,33.99,113.2,50.9,120.8,114.5,109.2,117.2,123.7,112.7,117.2,129.0,126.0,134.5,118.3,104.7,119.5,37.5,94.4,54.7,28.9,0.0,58.1,22.1,0.0,60.8,71.1,58.1,64.7,53.0,100.8,81.8,101.4,72.1,175.3,161.5,20.30,20.43,20.17,46.9,0.0,0.19,0.00,0.00,0.00,,
