[Test Data]
Format 2
Experiment Type:,dry
Test Date:,02/03/2018,10:06:14
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\curly wet no rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0222815,10:06:44,33.72,34.54,33.40,33.86,33.64,33.60,33.94,33.96,33.87,33.95,33.99,33.99,33.65,34.08,33.54,33.88,33.87,33.90,34.38,33.47,33.98,34.06,33.27,34.00,34.32,34.09,34.09,34.01,34.12,34.05,34.04,34.00,33.98,33.99,272.3,237.0,228.6,58.8,196.3,135.9,29.0,14.2,68.2,20.6,8.3,9.1,363.3,280.2,157.4,55.7,54.3,28.2,1.6,0.0,15.5,4.2,0.0,14.1,2.0,2.7,4.7,4.4,4.0,6.8,5.3,10.9,21.9,22.2,34.01,34.22,33.79,39.8,0.0,0.12,0.00,0.00,0.00,,
60.0355578,10:07:14,33.95,34.83,33.59,33.92,33.79,33.69,33.96,33.97,33.91,33.97,34.00,34.00,33.97,34.41,33.68,33.93,33.92,33.91,34.35,33.48,33.99,34.05,33.28,33.99,34.31,34.09,34.06,34.03,34.13,34.06,34.04,34.00,34.00,33.99,239.3,177.7,211.3,53.0,177.3,131.2,28.1,13.5,62.5,19.9,8.0,7.3,309.6,223.6,145.6,51.8,49.5,30.9,1.0,0.0,15.9,5.0,0.0,14.5,1.2,3.1,5.8,6.2,3.7,5.5,3.5,10.0,22.0,21.0,34.01,34.23,33.79,39.8,0.0,0.12,0.00,0.00,0.00,,
90.0518049,10:07:44,34.07,34.97,33.70,33.93,33.87,33.78,33.97,33.98,33.96,33.99,34.00,34.01,34.11,34.51,33.77,33.95,33.94,33.91,34.33,33.47,34.00,34.04,33.28,34.00,34.28,34.07,34.05,34.01,34.12,34.05,34.04,34.00,33.99,33.99,217.1,137.8,201.7,49.5,166.9,126.5,26.7,12.3,56.7,18.6,7.1,5.4,283.4,192.2,138.7,49.9,45.8,31.5,3.3,0.0,14.5,4.8,0.0,15.1,0.6,2.0,4.3,5.5,2.4,6.0,2.1,8.1,20.7,20.7,34.00,34.22,33.78,39.8,0.0,0.11,0.00,0.00,0.00,,
120.0650642,10:08:14,34.14,34.99,33.78,33.95,33.93,33.82,33.97,33.99,33.99,34.00,34.00,34.01,34.21,34.59,33.78,33.94,33.97,33.95,34.32,33.46,34.00,34.04,33.28,33.99,34.27,34.07,34.05,34.01,34.11,34.03,34.04,34.00,34.00,34.00,207.1,108.5,195.6,49.8,160.5,122.5,26.9,11.9,53.6,16.4,6.8,5.2,265.5,167.0,139.9,49.4,43.1,32.5,3.6,0.0,15.8,5.3,0.0,14.2,1.9,3.2,3.7,6.6,3.9,5.8,3.0,8.1,19.6,20.4,34.00,34.22,33.78,39.8,0.0,0.12,0.00,0.00,0.00,,
150.0803241,10:08:44,34.19,35.00,33.84,33.96,33.97,33.86,33.98,33.99,34.02,34.01,34.00,34.02,34.25,34.57,33.82,33.93,33.99,33.95,34.32,33.45,34.00,34.03,33.27,34.00,34.29,34.04,34.05,34.00,34.11,34.04,34.03,34.02,34.01,34.00,197.0,86.6,190.6,48.4,154.7,120.4,26.6,10.6,49.3,14.6,6.5,3.1,251.9,156.6,141.1,50.3,38.5,32.8,11.2,0.0,15.3,5.7,0.0,13.8,3.0,2.7,4.0,5.5,2.0,4.6,4.1,7.3,17.8,20.1,34.00,34.22,33.79,39.7,0.0,0.11,0.00,0.00,0.00,,
180.0936235,10:09:14,34.22,34.93,33.92,33.94,33.95,33.91,33.97,34.00,34.04,34.01,34.01,34.01,34.29,34.51,33.82,33.96,34.01,33.94,34.30,33.44,34.00,34.02,33.27,33.99,34.28,34.05,34.05,34.00,34.10,34.01,34.04,34.01,34.01,34.01,184.9,73.6,182.0,52.4,158.4,116.2,27.8,9.4,45.5,14.6,5.2,4.5,239.5,152.1,142.0,56.4,33.7,28.6,7.0,0.0,12.5,6.4,0.0,14.2,12.6,5.8,5.1,4.6,4.3,4.0,2.8,7.9,17.2,18.8,34.00,34.21,33.78,39.7,0.0,0.11,0.00,0.00,0.00,,
210.1128675,10:09:45,34.24,34.87,33.96,33.95,33.98,33.92,33.98,34.01,34.05,34.02,34.00,34.01,34.30,34.50,33.84,33.96,34.03,33.98,34.28,33.42,33.97,34.03,33.27,33.99,34.27,34.06,34.03,34.01,34.12,34.04,34.04,34.01,34.02,34.01,178.4,62.0,177.4,54.1,157.1,115.2,27.9,9.0,42.5,12.3,6.3,5.8,229.4,141.1,143.8,51.6,32.9,29.4,5.0,0.0,12.8,5.4,0.0,13.7,8.0,4.2,3.7,3.3,4.4,7.3,4.2,5.1,16.8,17.8,34.00,34.21,33.79,39.7,0.0,0.11,0.00,0.00,0.00,,
240.1251696,10:10:15,34.21,34.80,33.99,33.94,33.97,33.94,33.98,34.01,34.06,34.03,34.00,34.01,34.28,34.44,33.88,33.98,34.03,33.99,34.21,33.41,34.02,34.02,33.27,34.00,34.34,34.06,34.02,34.00,34.12,34.02,34.04,34.01,34.01,34.01,175.6,55.4,173.0,55.7,154.6,114.4,26.7,8.5,38.0,11.6,5.2,3.6,225.5,137.4,141.9,51.8,31.0,27.3,7.6,0.0,15.2,7.5,0.0,13.6,9.0,3.8,4.5,4.4,3.3,6.0,2.2,6.9,15.5,17.0,34.00,34.21,33.79,39.5,0.0,0.12,0.00,0.00,0.00,,
270.1374338,10:10:45,34.18,34.70,34.01,33.93,33.98,33.96,33.98,34.01,34.06,34.02,34.00,34.00,34.26,34.40,33.90,33.98,34.04,33.99,34.21,33.40,34.01,34.02,33.28,34.01,34.27,34.04,34.02,34.00,34.10,34.03,34.03,34.01,34.02,34.02,174.8,51.7,169.6,59.2,156.5,112.8,27.3,7.5,36.2,11.1,5.0,3.4,222.4,136.1,142.3,51.2,29.6,26.9,8.4,0.0,13.9,7.2,0.0,12.7,12.1,6.0,4.6,2.6,3.6,3.2,3.3,6.5,14.4,15.6,34.00,34.21,33.78,39.5,0.0,0.11,0.00,0.00,0.00,,
300.1627035,10:11:15,34.16,34.58,34.03,33.93,34.00,33.95,33.99,34.01,34.08,34.02,34.01,34.00,34.24,34.36,33.92,33.98,34.05,34.01,34.21,33.40,34.00,34.02,33.28,34.01,34.32,34.04,34.01,34.00,34.11,34.06,34.02,34.01,34.02,34.02,173.4,52.5,166.4,60.7,155.1,113.6,25.6,7.3,33.4,11.1,5.5,5.4,217.2,133.9,141.0,51.0,26.6,26.6,10.3,0.0,16.9,5.5,0.0,12.5,3.7,5.1,5.2,4.6,4.1,8.6,2.1,5.8,14.0,16.9,34.00,34.21,33.79,39.5,0.0,0.11,0.00,0.00,0.00,,
330.1689975,10:11:45,34.14,34.49,34.03,33.94,34.01,33.96,34.01,34.01,34.06,34.02,34.00,34.01,34.22,34.30,33.92,33.97,34.05,34.02,34.18,33.38,34.00,34.02,33.28,34.01,34.33,34.07,34.01,34.00,34.10,34.03,34.02,34.01,34.02,34.02,173.9,53.5,164.9,60.8,153.8,116.0,24.8,7.5,31.6,9.6,5.2,2.6,216.6,132.2,143.0,49.3,25.0,23.6,7.1,0.0,17.6,7.0,0.0,13.8,10.5,3.3,5.1,4.5,1.0,6.0,1.6,6.2,14.3,15.2,34.01,34.22,33.80,39.3,0.0,0.11,0.00,0.00,0.00,,
360.1832613,10:12:15,34.11,34.43,34.06,33.94,34.03,34.00,34.00,34.01,34.06,34.02,34.01,34.00,34.20,34.23,33.92,33.99,34.05,34.03,34.20,33.38,34.03,34.00,33.27,34.00,34.30,34.05,34.00,34.00,34.10,34.05,34.04,34.01,34.01,34.03,173.2,51.3,161.5,62.0,147.3,113.3,24.4,6.7,30.4,10.4,5.0,3.9,213.9,136.2,142.2,49.4,23.8,24.7,10.7,0.0,13.7,6.1,0.0,13.5,7.3,6.7,5.0,5.5,3.2,6.1,2.2,5.4,17.2,15.7,34.01,34.22,33.80,39.3,0.0,0.11,0.00,0.00,0.00,,
390.2845091,10:12:45,34.12,34.37,34.06,33.96,34.02,34.00,34.01,34.02,34.06,34.01,34.00,34.01,34.18,34.21,33.91,33.98,34.05,34.04,34.19,33.37,34.00,34.00,33.27,34.00,34.30,34.05,34.01,34.01,34.09,34.03,34.03,34.01,34.03,34.01,172.0,51.3,158.3,61.1,148.3,109.1,24.7,6.4,28.3,8.7,4.6,5.1,212.8,138.5,145.2,51.0,21.7,23.4,16.6,0.0,17.9,6.5,0.0,11.9,3.9,5.5,7.8,4.3,5.3,4.0,1.7,5.7,13.5,15.3,34.02,34.23,33.82,39.3,0.0,0.12,0.00,0.00,0.00,,
420.2107701,10:13:15,34.11,34.31,34.03,33.96,34.04,34.01,34.01,34.01,34.07,34.02,34.00,34.01,34.14,34.16,33.92,33.99,34.04,34.03,34.21,33.40,33.99,34.01,33.27,34.01,34.31,34.07,34.02,34.00,34.10,34.06,34.04,33.99,34.01,34.01,170.1,52.3,159.0,61.7,145.1,109.4,24.3,6.0,25.8,9.2,4.0,2.9,213.1,140.2,146.8,51.4,20.4,21.1,11.8,0.0,16.8,6.2,0.0,12.5,7.3,6.9,4.7,4.6,1.8,8.3,2.9,6.6,15.9,15.0,34.04,34.24,33.83,39.2,0.0,0.12,0.00,0.00,0.00,,
450.2270033,10:13:45,34.08,34.24,34.04,33.96,34.04,34.01,34.00,34.01,34.06,34.02,34.01,34.01,34.11,34.09,33.90,33.98,34.05,34.03,34.15,33.38,34.03,34.00,33.27,34.01,34.31,34.08,34.00,34.01,34.08,34.05,34.04,34.01,34.02,34.02,172.9,56.6,158.6,61.7,145.6,107.4,23.8,6.2,26.3,9.3,4.1,4.4,214.8,146.6,151.1,50.9,19.3,21.4,12.4,0.0,14.8,6.0,0.0,12.1,4.3,7.3,5.5,3.4,1.1,7.1,2.6,5.2,12.4,13.1,34.04,34.25,33.84,39.1,0.0,0.12,0.00,0.00,0.00,,
480.2402316,10:14:15,34.08,34.17,34.04,33.98,34.04,34.02,34.01,34.01,34.07,34.02,34.01,34.02,34.09,34.11,33.90,33.98,34.05,34.02,34.16,33.38,34.02,34.00,33.28,34.01,34.30,34.10,34.01,34.01,34.09,34.07,34.04,34.00,34.01,34.02,170.9,62.5,158.4,61.5,142.4,107.0,21.4,5.1,24.3,8.9,3.9,2.7,214.1,143.9,156.2,51.2,17.3,21.2,9.2,0.0,8.6,6.2,0.0,12.8,3.2,5.0,5.9,3.7,1.3,7.0,1.6,3.6,12.5,14.5,34.05,34.26,33.86,39.1,0.0,0.11,0.00,0.00,0.00,,
510.2554756,10:14:45,34.07,34.15,34.03,33.97,34.03,34.02,34.02,34.01,34.06,34.01,34.00,34.02,34.08,34.04,33.89,33.99,34.05,34.03,34.13,33.36,34.01,34.01,33.28,34.01,34.29,34.07,34.00,34.00,34.09,34.08,34.05,34.01,34.02,34.02,170.0,61.7,160.3,62.1,142.7,107.0,21.7,5.2,22.5,8.3,3.6,1.5,214.4,151.2,157.9,50.2,17.0,19.6,5.6,0.0,11.9,6.6,0.0,11.9,12.1,7.6,5.3,4.0,2.1,8.7,3.0,3.6,10.7,14.4,34.06,34.26,33.86,39.0,0.0,0.12,0.00,0.00,0.00,,
540.2707442,10:15:15,34.06,34.14,34.00,33.97,34.01,34.02,34.02,34.01,34.06,34.01,34.00,34.01,34.06,34.01,33.89,33.98,34.05,34.02,34.14,33.37,34.00,34.01,33.27,34.00,34.30,34.10,34.00,34.00,34.09,34.09,34.04,34.01,34.02,34.00,171.0,60.3,161.3,61.7,145.3,106.2,21.2,5.3,20.8,8.0,4.7,3.1,218.6,154.2,161.3,51.2,16.7,20.3,10.6,0.0,11.1,5.9,0.0,12.8,3.5,6.9,5.4,4.7,3.1,5.4,1.7,4.4,15.3,13.2,34.06,34.27,33.86,39.0,0.0,0.11,0.00,0.00,0.00,,
570.285018,10:15:45,34.04,34.10,34.00,33.98,34.01,34.01,34.01,34.01,34.06,34.02,34.00,34.02,34.02,34.02,33.89,33.98,34.05,34.01,34.12,33.37,34.02,34.00,33.29,34.00,34.30,34.09,34.01,34.00,34.10,34.06,34.05,34.00,34.01,34.01,169.6,60.7,163.8,61.8,148.2,105.9,20.0,5.5,20.3,7.4,3.2,3.1,219.3,152.4,163.6,53.8,14.5,23.9,9.4,0.0,15.2,6.7,0.0,13.0,3.5,4.8,5.2,3.6,3.4,6.2,1.6,4.8,8.5,14.4,34.07,34.27,33.87,38.9,0.0,0.12,0.00,0.00,0.00,,
600.2982942,10:16:15,34.02,34.08,34.05,33.95,34.00,34.01,34.02,34.01,34.06,34.01,34.01,34.01,34.01,33.97,33.88,34.01,34.05,34.04,34.09,33.36,33.99,34.00,33.27,34.00,34.28,34.08,34.00,34.01,34.09,34.06,34.05,34.00,34.00,34.01,172.8,61.6,155.3,66.3,147.5,104.8,21.8,5.2,18.3,8.1,4.4,2.8,222.8,157.5,167.5,48.8,13.3,22.6,15.0,0.0,11.4,7.5,0.0,12.9,2.8,1.6,7.0,4.0,3.7,6.4,2.5,5.7,13.1,13.7,34.07,34.27,33.86,38.8,0.0,0.12,0.00,0.00,0.00,,
