[Test Data]
Format 2
Experiment Type:,dry
Test Date:,02/03/2018,11:22:55
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\curly wet with rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0253815,11:23:25,34.10,34.83,34.07,34.05,34.15,34.08,34.15,34.05,34.18,34.03,34.02,34.09,34.31,34.71,33.88,34.06,34.05,34.02,34.12,33.72,34.01,34.06,33.96,33.99,34.34,34.28,34.12,34.08,34.35,34.28,34.19,34.09,34.04,34.04,205.0,94.9,126.9,44.9,113.0,87.0,0.3,0.6,0.4,2.6,2.5,0.0,246.2,129.4,143.2,46.8,25.7,35.2,2.1,0.0,5.9,4.5,0.0,4.9,0.1,0.2,2.2,3.7,5.1,1.0,0.6,0.2,2.1,3.1,34.17,34.31,34.03,38.5,0.0,0.12,0.00,0.00,0.00,,
60.0416689,11:23:55,34.09,34.84,34.10,34.05,34.13,34.07,34.16,34.05,34.19,34.03,34.02,34.11,34.27,34.61,33.87,34.07,34.05,34.03,34.10,33.72,34.01,34.08,33.95,33.98,34.35,34.27,34.11,34.09,34.35,34.29,34.17,34.09,34.03,34.03,206.9,75.6,124.6,43.0,115.1,85.5,0.4,1.2,1.4,1.7,0.6,0.9,248.0,127.6,148.4,44.6,20.9,34.6,2.9,0.0,6.5,6.3,0.0,4.5,0.6,0.7,3.6,2.2,0.7,4.9,1.7,2.6,3.6,6.2,34.19,34.32,34.06,38.3,0.0,0.12,0.00,0.00,0.00,,
90.0539878,11:24:25,34.13,34.86,34.14,34.06,34.14,34.08,34.17,34.05,34.20,34.03,34.01,34.12,34.34,34.62,33.92,34.08,34.06,34.02,34.10,33.70,34.02,34.06,33.95,33.98,34.31,34.29,34.11,34.09,34.34,34.29,34.17,34.12,34.04,34.05,200.0,56.6,113.8,38.9,109.5,83.8,0.0,0.7,1.0,1.6,1.7,0.5,229.8,119.3,143.0,43.3,19.0,35.9,7.9,0.0,5.3,3.3,0.0,5.7,12.4,2.1,2.3,1.1,3.4,2.8,0.9,5.4,3.7,10.9,34.20,34.32,34.09,38.3,0.0,0.12,0.00,0.00,0.00,,
120.0772964,11:24:55,34.12,34.82,34.16,34.07,34.14,34.08,34.19,34.05,34.22,34.03,34.02,34.13,34.33,34.55,33.96,34.07,34.06,34.01,34.09,33.71,34.01,34.05,33.94,33.99,34.33,34.27,34.11,34.09,34.34,34.28,34.17,34.12,34.03,34.07,195.8,39.6,107.2,36.4,105.7,81.8,0.0,0.4,1.4,1.3,1.2,0.0,222.7,112.4,140.8,41.5,14.4,33.9,5.2,0.0,6.9,3.1,0.0,5.9,3.5,1.3,1.6,1.2,3.6,1.5,1.4,2.1,4.6,6.8,34.22,34.32,34.11,38.1,0.0,0.12,0.00,0.00,0.00,,
150.086597,11:25:25,34.13,34.76,34.15,34.08,34.11,34.08,34.19,34.05,34.22,34.02,34.03,34.14,34.30,34.50,33.96,34.09,34.07,34.02,34.08,33.69,34.01,34.06,33.93,33.99,34.34,34.28,34.09,34.09,34.36,34.28,34.17,34.11,34.04,34.06,192.7,31.1,104.4,37.2,106.8,81.0,0.0,0.4,1.6,0.8,2.4,0.2,218.3,106.2,140.9,44.0,14.0,36.2,5.7,0.0,6.2,4.5,0.0,6.1,7.2,2.7,1.1,1.1,3.6,0.6,2.8,5.1,4.5,8.9,34.22,34.32,34.12,38.0,0.0,0.12,0.00,0.00,0.00,,
180.1009344,11:25:55,34.12,34.66,34.12,34.06,34.10,34.08,34.21,34.05,34.25,34.03,34.03,34.14,34.28,34.42,33.94,34.08,34.06,34.02,34.12,33.69,34.01,34.05,33.92,33.99,34.31,34.27,34.10,34.09,34.38,34.27,34.18,34.12,34.04,34.07,192.4,29.2,103.6,35.6,106.2,78.5,0.0,0.6,0.3,1.3,2.8,0.7,216.6,105.4,143.2,39.6,12.2,34.1,5.7,0.0,6.3,2.6,0.0,5.0,5.1,1.5,1.6,1.0,0.9,2.1,1.3,1.1,3.6,4.8,34.22,34.32,34.13,38.0,0.0,0.12,0.00,0.00,0.00,,
210.1142291,11:26:25,34.12,34.58,34.13,34.06,34.08,34.07,34.23,34.06,34.26,34.02,34.04,34.15,34.25,34.37,33.90,34.08,34.07,34.03,34.11,33.70,34.00,34.04,33.92,33.99,34.33,34.26,34.10,34.08,34.36,34.29,34.17,34.13,34.03,34.06,188.6,26.9,99.9,34.2,107.1,78.6,0.2,0.1,1.0,0.7,3.5,0.0,213.3,106.9,151.0,36.7,8.9,33.3,7.6,0.0,6.2,4.6,0.0,5.5,7.6,2.0,5.0,0.7,4.9,5.7,2.3,2.4,2.7,2.4,34.23,34.32,34.15,38.0,0.0,0.11,0.00,0.00,0.00,,
240.1265664,11:26:55,34.10,34.54,34.12,34.06,34.06,34.06,34.24,34.05,34.28,34.02,34.05,34.17,34.21,34.31,33.87,34.07,34.07,34.01,34.14,33.68,34.02,34.06,33.91,34.00,34.36,34.26,34.09,34.09,34.38,34.28,34.18,34.12,34.02,34.06,188.5,22.5,98.7,33.5,106.4,77.7,0.1,0.3,1.3,0.7,1.8,0.7,212.7,114.7,157.9,37.4,7.2,31.8,7.6,0.0,7.7,5.6,0.0,5.0,6.6,4.2,1.0,0.7,9.3,4.6,1.6,1.7,6.0,3.3,34.24,34.32,34.15,37.9,0.0,0.12,0.00,0.00,0.00,,
270.1448845,11:27:25,34.08,34.46,34.11,34.06,34.05,34.05,34.27,34.07,34.30,34.02,34.04,34.18,34.19,34.28,33.87,34.04,34.06,34.03,34.15,33.71,34.04,34.04,33.91,34.00,34.35,34.29,34.10,34.08,34.33,34.30,34.19,34.11,34.05,34.04,190.2,18.6,98.9,30.2,108.3,78.2,0.8,0.9,0.9,1.2,2.4,0.4,212.9,111.4,161.7,37.6,6.4,31.2,14.1,0.0,10.6,5.0,0.0,6.0,3.7,3.0,2.5,1.3,3.5,2.0,5.0,1.4,5.5,1.8,34.24,34.32,34.16,37.9,0.0,0.12,0.00,0.00,0.00,,
