[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/02/2018,14:19:17
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\skin only.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0300527,14:19:47,33.96,34.02,33.99,33.95,33.97,33.96,33.94,33.93,33.95,33.93,33.81,33.87,34.02,34.02,34.02,34.02,33.94,34.06,34.03,31.27,34.07,34.01,31.33,34.05,34.02,34.07,34.04,34.06,34.09,34.03,33.98,34.02,33.94,33.91,124.0,120.1,104.3,103.5,106.9,113.6,113.8,124.6,113.3,118.8,111.7,114.3,109.1,109.4,95.7,44.8,88.2,56.3,35.4,0.0,74.8,30.8,0.0,70.9,75.4,59.3,65.6,56.4,102.4,77.0,104.9,76.1,143.0,147.5,21.12,21.24,21.00,44.2,0.0,0.06,0.00,0.00,0.00,,
60.0445054,14:20:17,33.79,34.00,33.92,33.90,33.87,33.93,33.88,33.88,33.85,33.86,33.77,33.79,33.91,33.96,33.90,33.98,33.89,34.06,34.03,31.26,34.06,34.00,31.34,34.06,33.98,34.04,34.00,34.07,34.00,33.99,33.90,34.02,33.85,33.87,150.5,121.5,114.4,110.9,120.6,118.9,124.2,132.2,128.2,130.1,122.2,129.5,128.2,114.5,110.1,50.7,97.9,54.7,31.4,0.0,72.0,32.9,0.0,69.3,74.3,55.3,68.2,54.7,108.0,81.2,120.5,75.1,151.9,155.7,21.10,21.21,20.97,43.9,0.0,0.19,0.00,0.00,0.00,,
90.0589581,14:20:47,33.75,33.98,33.88,33.89,33.85,33.91,33.87,33.87,33.82,33.83,33.77,33.76,33.89,33.95,33.87,33.98,33.87,34.05,34.03,31.24,34.07,33.99,31.35,34.05,33.96,34.09,33.96,34.07,33.98,34.02,33.89,34.00,33.86,33.88,162.3,124.4,121.9,115.2,128.5,123.8,127.6,135.8,137.4,136.1,130.4,142.5,136.2,119.8,118.8,52.1,103.9,56.1,34.0,0.0,72.2,32.1,0.0,68.1,82.5,54.7,74.8,53.1,114.6,79.6,125.8,76.4,148.9,157.0,21.07,21.18,20.96,44.2,0.0,0.21,0.00,0.00,0.00,,
120.0734109,14:21:17,33.75,33.99,33.88,33.90,33.85,33.91,33.88,33.87,33.82,33.83,33.78,33.78,33.88,33.96,33.85,33.94,33.88,34.02,34.01,31.24,34.08,34.00,31.35,34.06,33.94,34.06,33.95,34.05,33.96,34.01,33.90,34.01,33.89,33.89,170.1,123.7,124.5,116.7,132.2,124.4,133.1,138.5,142.8,140.1,132.3,145.9,139.7,123.2,122.8,55.8,106.0,56.0,34.8,0.0,71.0,34.1,0.0,66.4,82.2,58.8,76.0,53.8,120.1,79.5,127.2,77.3,158.9,158.4,21.05,21.15,20.94,43.9,0.0,0.20,0.00,0.00,0.00,,
150.0878636,14:21:47,33.77,33.97,33.89,33.90,33.86,33.91,33.88,33.89,33.85,33.85,33.80,33.83,33.89,33.97,33.87,33.97,33.90,34.01,33.96,31.26,34.07,33.99,31.35,34.06,33.96,34.06,33.95,34.05,33.93,34.01,33.92,34.01,33.90,33.91,170.5,124.4,127.4,118.6,133.2,126.6,135.1,139.7,144.4,141.3,136.1,143.9,140.4,119.9,123.4,56.1,106.8,56.2,37.0,0.0,65.2,34.4,0.0,65.6,80.9,55.1,79.3,53.2,119.9,82.8,126.9,75.7,151.5,159.9,21.01,21.12,20.90,44.3,0.0,0.17,0.00,0.00,0.00,,
180.1023163,14:22:17,33.80,33.99,33.90,33.92,33.88,33.92,33.89,33.90,33.87,33.86,33.83,33.87,33.90,33.96,33.88,33.98,33.90,34.03,34.01,31.23,34.02,34.00,31.36,34.06,33.93,34.03,33.96,34.05,33.97,34.02,33.93,34.02,33.91,33.93,170.5,125.1,127.6,118.7,135.5,126.5,134.8,140.9,147.2,142.3,136.3,143.0,142.6,119.9,125.7,53.4,109.1,56.3,37.9,0.0,67.1,33.5,0.0,65.2,81.8,60.6,79.3,53.5,121.8,81.1,125.5,75.0,157.7,160.7,20.98,21.09,20.87,44.0,0.0,0.17,0.00,0.00,0.00,,
210.116769,14:22:47,33.82,33.99,33.91,33.94,33.90,33.94,33.92,33.91,33.91,33.91,33.85,33.89,33.94,33.96,33.91,33.96,33.93,34.00,33.98,31.24,34.07,34.00,31.38,34.06,33.97,34.03,33.95,34.03,34.02,33.98,33.96,33.99,33.91,33.95,171.7,124.2,129.2,117.8,134.9,126.9,134.4,142.7,144.9,139.6,137.6,141.2,139.5,120.6,125.2,58.7,109.4,58.1,32.5,0.0,67.3,32.9,0.0,63.9,79.2,55.5,81.6,53.7,115.9,80.0,121.9,75.5,158.8,159.5,20.97,21.09,20.84,44.0,0.0,0.11,0.00,0.00,0.00,,
240.1312217,14:23:17,33.86,34.00,33.93,33.94,33.92,33.96,33.91,33.92,33.92,33.93,33.88,33.88,33.95,33.97,33.92,34.01,33.93,34.02,34.03,31.22,34.04,34.00,31.39,34.05,33.95,34.02,33.97,34.03,33.97,34.01,33.96,34.01,33.92,33.94,171.6,125.1,127.0,116.4,133.8,126.0,137.0,143.6,144.5,137.3,135.9,144.4,139.2,120.2,124.9,55.0,111.3,60.5,34.3,0.0,66.5,33.8,0.0,64.3,85.2,52.6,79.7,53.9,123.2,79.9,124.0,75.3,157.5,160.9,20.95,21.10,20.81,44.0,0.0,0.12,0.00,0.00,0.00,,
270.1456744,14:23:47,33.88,33.98,33.94,33.95,33.92,33.97,33.92,33.94,33.94,33.95,33.90,33.93,33.94,34.00,33.93,33.99,33.94,34.02,33.98,31.24,34.04,34.00,31.40,34.04,33.97,33.99,33.97,34.02,33.99,33.98,34.00,34.01,33.95,33.97,171.4,125.7,126.4,117.5,135.8,126.1,136.0,143.2,143.4,136.6,136.3,140.7,140.8,121.1,124.7,55.3,110.0,59.1,36.3,0.0,66.8,33.0,0.0,64.4,81.8,57.4,80.6,54.0,120.0,80.0,122.0,75.1,158.4,158.1,20.94,21.09,20.78,44.1,0.0,0.16,0.00,0.00,0.00,,
