[Test Data]
Format 2
Experiment Type:,dry
Test Date:,27/02/2018,12:39:56
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\straight 2 with tc.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0161629,12:40:26,33.98,33.76,33.98,34.01,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.01,34.00,34.08,34.00,34.00,34.01,34.00,34.00,30.68,34.03,34.00,31.66,33.99,33.99,34.01,34.01,34.00,33.99,34.03,34.01,34.00,33.97,34.00,126.4,99.0,126.2,112.3,109.7,113.9,121.5,111.8,116.6,128.5,121.9,132.6,117.6,95.7,117.3,37.6,90.3,54.4,31.2,0.0,63.2,20.8,0.0,60.4,69.6,55.0,63.6,52.0,100.2,73.6,96.2,67.2,166.7,161.2,20.34,20.44,20.25,47.2,0.0,0.21,0.00,0.00,0.00,,
60.0312875,12:40:57,34.00,33.91,33.99,34.01,33.99,34.01,34.01,34.01,34.00,34.00,34.01,34.01,34.00,34.12,34.00,34.00,34.00,34.00,34.00,30.68,34.02,34.01,31.68,34.00,34.04,33.99,34.00,34.00,33.98,34.01,34.01,34.00,33.99,34.01,125.1,81.6,126.0,112.3,108.2,112.2,121.4,110.6,116.9,128.8,119.9,130.8,118.8,85.9,117.7,36.9,91.0,54.0,25.2,0.0,59.5,21.3,0.0,61.2,65.6,52.1,65.3,51.6,98.9,77.7,97.4,69.9,173.6,160.8,20.36,20.45,20.27,47.2,0.0,0.22,0.00,0.00,0.00,,
90.0424258,12:41:27,34.02,33.99,34.00,34.02,34.00,34.03,33.99,34.00,34.01,34.01,34.00,34.01,34.00,34.11,34.00,34.01,34.01,34.00,34.00,30.67,34.01,34.00,31.68,34.00,34.01,34.02,33.99,34.01,34.02,34.01,34.00,33.99,34.00,34.02,121.8,70.1,124.3,111.4,107.7,111.9,122.0,112.0,116.3,128.2,121.0,130.7,115.7,84.3,118.8,36.1,90.9,53.5,27.7,0.0,63.5,20.8,0.0,60.8,62.9,53.1,66.5,52.3,99.7,81.7,97.9,68.0,172.3,159.1,20.39,20.48,20.30,47.4,0.0,0.09,0.00,0.00,0.00,,
120.0565384,12:41:57,34.02,34.03,34.01,34.01,34.00,34.02,34.01,34.00,34.01,34.01,34.01,34.00,34.01,34.11,34.00,34.00,34.00,34.01,33.99,30.67,34.01,34.00,31.67,34.00,34.01,33.98,34.01,34.00,34.00,33.99,34.00,34.01,34.04,34.00,120.8,63.2,122.8,110.9,106.8,112.0,121.6,111.5,116.0,127.2,120.0,130.6,116.1,81.7,117.2,37.1,92.8,53.4,30.1,0.0,64.8,20.0,0.0,61.2,69.3,58.9,65.9,50.4,101.5,84.7,95.9,71.3,162.7,160.6,20.38,20.47,20.29,47.4,0.0,0.23,0.00,0.00,0.00,,
150.0736475,12:42:27,34.01,34.06,34.00,34.01,34.00,34.01,34.00,34.01,34.00,34.01,34.01,34.00,34.00,34.10,34.01,34.01,34.00,34.01,33.98,30.68,34.01,33.99,31.68,34.00,33.95,34.03,34.00,34.00,34.02,34.01,34.00,34.00,34.00,34.00,121.1,57.4,123.1,110.2,108.2,110.7,121.1,111.2,117.1,127.7,119.9,132.8,117.1,82.4,117.4,36.9,90.6,53.1,32.7,0.0,60.6,20.0,0.0,60.5,69.5,53.8,65.8,50.6,94.5,77.6,96.5,68.2,172.9,160.2,20.38,20.48,20.29,47.4,0.0,0.20,0.00,0.00,0.00,,
180.0867848,12:42:57,34.02,34.08,34.00,34.01,34.00,34.02,34.01,34.01,34.00,34.00,34.00,34.00,33.99,34.07,34.01,34.01,34.00,34.00,34.00,30.69,33.99,34.00,31.67,34.00,33.98,34.00,33.99,34.01,34.01,33.98,34.00,34.00,34.00,33.99,121.5,54.1,125.0,108.6,108.7,111.2,121.3,110.7,114.9,127.6,121.0,130.0,117.4,80.7,116.8,34.9,90.9,53.5,33.7,0.0,62.8,21.9,0.0,60.0,69.5,55.6,65.9,51.5,104.2,82.6,98.1,68.7,168.6,158.2,20.39,20.49,20.30,47.4,0.0,0.16,0.00,0.00,0.00,,
210.1028936,12:43:27,34.02,34.09,34.00,34.01,34.00,34.01,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.05,34.00,34.01,34.01,34.01,33.99,30.68,34.00,34.00,31.69,34.00,34.03,34.02,34.01,34.00,34.00,34.04,33.99,34.00,33.99,34.00,120.5,50.4,124.3,112.4,108.7,110.9,119.9,111.3,116.4,127.5,121.1,131.3,117.3,83.0,117.4,36.1,89.3,52.6,31.6,0.0,64.1,20.3,0.0,61.1,66.8,55.3,67.2,50.2,101.8,86.1,97.1,67.5,168.4,161.4,20.40,20.49,20.30,47.5,0.0,0.20,0.00,0.00,0.00,,
240.1150286,12:43:57,34.03,34.09,34.00,34.02,34.01,34.02,34.00,34.01,34.00,34.01,34.00,34.01,34.01,34.04,34.01,34.00,34.01,34.02,34.00,30.70,33.99,34.01,31.68,33.99,33.99,33.96,34.00,34.01,34.04,34.01,34.00,34.01,34.03,34.01,118.2,46.5,123.7,110.1,105.8,110.8,121.0,110.0,116.8,126.0,122.0,130.2,115.8,83.3,117.4,34.9,89.6,52.9,30.1,0.0,60.9,19.1,0.0,60.7,63.2,58.5,65.4,51.2,105.5,76.6,97.6,68.0,163.0,160.3,20.41,20.50,20.32,47.3,0.0,0.22,0.00,0.00,0.00,,
270.1381785,12:44:27,34.03,34.10,34.01,34.02,34.01,34.01,34.00,34.01,34.00,34.00,34.01,34.00,34.02,34.04,34.01,34.01,34.00,34.01,34.01,30.67,34.01,34.00,31.69,34.00,33.96,34.00,34.00,34.00,34.04,34.01,34.00,34.00,33.97,34.01,117.8,44.8,122.6,110.4,109.4,109.5,119.9,109.5,114.9,128.1,119.7,131.5,115.8,85.4,115.0,33.9,89.8,52.9,28.1,0.0,61.5,21.8,0.0,60.0,63.4,50.9,64.6,51.2,98.0,77.7,97.2,68.9,165.9,158.7,20.41,20.52,20.31,47.3,0.0,0.20,0.00,0.00,0.00,,
