[Test Data]
Format 2
Experiment Type:,dry
Test Date:,01/03/2018,17:15:52
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\straight wet with rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0084196,17:16:22,33.82,34.37,33.47,33.94,33.61,33.83,33.92,33.98,33.90,33.97,34.01,34.04,33.82,34.49,33.48,34.04,33.94,33.99,34.00,30.93,33.99,33.98,32.22,33.99,34.24,34.31,34.03,34.11,34.22,34.30,34.10,34.10,34.07,34.05,268.8,231.1,289.5,142.1,210.7,141.8,55.2,10.8,38.0,10.8,1.9,0.7,335.1,207.1,253.6,56.3,123.8,63.8,53.6,0.0,24.8,16.8,0.0,18.2,2.0,0.2,4.1,1.2,2.7,1.4,0.7,0.6,6.5,3.9,33.77,33.88,33.66,38.1,0.0,0.12,0.00,0.00,0.00,,
60.02186,17:16:52,33.96,34.67,33.64,33.95,33.72,33.87,33.97,33.99,33.93,33.99,34.01,34.05,34.05,34.70,33.58,34.06,33.97,34.02,33.99,30.96,33.99,33.97,32.23,33.99,34.25,34.30,34.01,34.11,34.21,34.30,34.09,34.11,34.06,34.04,246.5,174.1,271.6,141.6,199.6,139.6,47.4,9.8,37.0,10.8,2.4,0.6,294.1,154.5,254.8,49.3,121.0,63.3,53.4,0.0,23.5,19.5,0.0,18.0,8.2,0.8,6.6,1.0,2.6,1.4,1.3,2.4,5.2,4.1,33.77,33.88,33.67,38.1,0.0,0.12,0.00,0.00,0.00,,
90.0351747,17:17:22,34.07,34.84,33.77,33.92,33.77,33.91,34.01,34.00,33.97,33.99,34.01,34.06,34.14,34.73,33.63,34.08,34.01,34.06,34.02,30.97,34.00,34.00,32.26,34.00,34.23,34.31,34.01,34.10,34.21,34.28,34.10,34.11,34.06,34.04,229.6,129.3,257.9,145.5,200.8,135.9,44.4,7.8,34.7,9.9,1.0,0.3,276.3,131.5,258.2,42.7,115.5,57.4,53.4,0.0,27.2,16.5,0.0,17.3,7.8,1.3,7.3,0.8,2.2,1.1,1.9,0.8,4.9,4.2,33.78,33.88,33.68,38.2,0.0,0.13,0.00,0.00,0.00,,
120.0504506,17:17:52,34.15,34.89,33.92,33.93,33.84,33.93,34.03,34.01,33.98,34.00,34.02,34.07,34.24,34.70,33.72,34.09,34.03,34.08,34.02,30.97,34.01,33.98,32.28,34.00,34.23,34.29,34.02,34.10,34.21,34.27,34.09,34.10,34.04,34.03,211.7,100.1,238.3,146.5,194.9,136.8,37.8,7.6,31.0,8.2,1.0,1.0,256.7,115.1,250.3,39.3,109.5,53.6,51.4,0.0,21.8,16.2,0.0,17.6,7.5,2.5,5.2,1.0,3.3,1.5,0.8,0.9,5.1,5.5,33.79,33.89,33.70,38.1,0.0,0.11,0.00,0.00,0.00,,
150.0646981,17:18:22,34.18,34.92,34.00,33.93,33.91,33.96,34.05,34.01,33.99,34.00,34.02,34.07,34.30,34.71,33.83,34.11,34.02,34.07,34.04,30.98,33.99,33.99,32.30,34.01,34.26,34.28,34.02,34.10,34.21,34.27,34.08,34.10,34.02,34.03,204.3,77.8,227.0,147.3,184.1,133.8,35.4,7.1,30.8,8.4,1.5,1.0,239.3,93.7,240.8,33.2,110.7,51.3,46.5,0.0,25.0,17.0,0.0,14.1,2.8,1.1,4.3,0.1,2.2,1.5,0.6,1.7,5.6,4.2,33.80,33.89,33.72,38.1,0.0,0.11,0.00,0.00,0.00,,
180.0809615,17:18:52,34.22,34.89,34.05,33.94,33.94,33.96,34.06,34.02,34.01,34.00,34.03,34.08,34.33,34.63,33.89,34.11,34.02,34.08,34.00,31.00,33.97,33.99,32.31,34.02,34.25,34.28,34.01,34.10,34.20,34.28,34.08,34.12,34.03,34.03,194.5,59.9,219.3,148.8,185.8,132.2,30.7,5.7,26.9,6.1,2.1,0.6,226.8,89.6,233.9,31.2,109.8,48.2,53.9,0.0,27.1,17.8,0.0,14.6,11.1,1.0,4.1,1.1,0.5,2.8,1.2,2.3,5.8,4.6,33.82,33.89,33.74,38.0,0.0,0.12,0.00,0.00,0.00,,
210.1432165,17:19:22,34.19,34.84,34.08,33.94,33.94,33.95,34.08,34.02,34.02,34.01,34.02,34.09,34.31,34.59,33.92,34.10,34.00,34.08,34.02,30.99,33.97,33.99,32.33,34.02,34.22,34.27,34.01,34.09,34.19,34.28,34.07,34.09,34.03,34.04,191.6,44.1,212.7,151.0,182.0,133.8,29.2,4.8,24.6,5.6,0.8,0.4,221.5,84.5,232.1,27.9,114.2,47.3,49.9,0.0,27.5,16.5,0.0,13.9,3.4,3.4,5.4,0.4,0.9,5.2,0.4,1.5,5.0,7.5,33.83,33.90,33.76,37.9,0.0,0.12,0.00,0.00,0.00,,
240.1545047,17:19:52,34.18,34.75,34.10,33.95,33.96,33.97,34.08,34.02,34.02,34.02,34.03,34.09,34.28,34.47,33.95,34.09,34.00,34.10,34.04,31.02,34.01,34.00,32.36,34.01,34.24,34.26,33.99,34.10,34.20,34.27,34.08,34.11,34.02,34.03,188.8,42.4,207.9,152.1,184.1,134.1,25.3,3.9,22.7,5.9,1.2,0.5,219.4,90.1,228.4,29.2,115.5,47.9,48.1,0.0,24.5,17.1,0.0,14.6,6.5,0.6,9.2,1.7,3.3,4.6,2.4,1.5,6.6,6.0,33.84,33.90,33.78,37.9,0.0,0.12,0.00,0.00,0.00,,
270.1677673,17:20:22,34.16,34.71,34.10,33.95,33.96,33.97,34.08,34.02,34.04,34.01,34.04,34.11,34.25,34.43,33.98,34.09,33.98,34.07,34.01,31.01,33.96,33.99,32.39,34.01,34.24,34.27,34.01,34.09,34.18,34.27,34.08,34.09,34.04,34.03,187.7,33.4,204.4,152.6,183.1,135.4,22.8,4.4,19.4,5.0,1.5,0.4,217.7,86.0,224.9,25.1,118.5,45.6,49.8,0.0,25.9,18.5,0.0,15.1,9.7,2.5,8.0,0.6,2.9,1.9,1.2,0.7,5.0,3.9,33.85,33.91,33.79,37.8,0.0,0.11,0.00,0.00,0.00,,
