[Test Data]
Format 2
Experiment Type:,dry
Test Date:,01/03/2018,15:41:03
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\straight wet.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0252663,15:41:34,34.13,34.64,33.91,33.93,34.06,34.01,33.95,34.01,34.07,34.01,34.01,34.02,34.10,34.50,33.80,34.00,33.97,33.88,34.16,33.59,34.01,34.05,33.59,34.00,34.17,34.08,34.04,34.00,34.16,34.08,34.01,34.02,34.01,34.02,206.1,100.3,208.0,83.6,77.0,57.3,105.1,9.4,5.8,10.4,9.5,4.0,258.8,129.4,188.4,58.8,39.4,52.7,4.2,0.0,9.2,5.0,0.0,6.9,6.6,3.6,3.6,3.6,10.2,5.4,5.0,5.6,12.5,11.6,33.61,33.76,33.46,39.0,0.0,0.12,0.00,0.00,0.00,,
60.0414889,15:42:04,34.11,34.63,33.90,33.93,34.05,34.03,33.95,34.01,34.07,34.02,34.02,34.01,33.96,34.47,33.83,33.99,33.97,33.90,34.12,33.58,33.99,34.04,33.59,34.00,34.18,34.08,34.05,34.00,34.15,34.06,34.01,34.02,34.01,34.01,207.2,88.1,213.7,85.3,76.3,54.1,106.9,8.7,4.2,9.0,8.8,4.3,283.8,122.9,187.2,57.4,41.2,52.0,4.8,0.0,9.6,2.7,0.0,8.1,3.7,2.0,1.1,3.1,2.5,4.2,2.4,4.0,10.5,11.3,33.61,33.75,33.46,39.1,0.0,0.12,0.00,0.00,0.00,,
90.0556986,15:42:34,34.11,34.60,33.93,33.96,34.04,34.02,33.96,34.01,34.06,34.01,34.01,34.01,33.95,34.38,33.86,34.01,33.96,33.92,34.12,33.55,34.00,34.04,33.58,34.00,34.18,34.07,34.04,34.00,34.15,34.05,34.00,34.02,34.00,34.00,204.1,76.4,211.7,82.4,79.2,54.5,105.1,8.6,5.0,8.7,8.5,6.4,288.0,126.5,188.5,54.7,41.8,52.8,5.5,0.0,9.1,3.3,0.0,7.6,7.0,0.7,2.7,3.9,3.0,5.5,4.1,5.1,13.1,11.9,33.61,33.76,33.47,39.0,0.0,0.12,0.00,0.00,0.00,,
120.0729193,15:43:04,34.12,34.55,33.97,33.98,34.04,34.00,33.98,34.02,34.05,34.01,34.01,34.00,33.98,34.36,33.88,34.03,33.94,33.92,34.09,33.53,34.00,34.03,33.58,34.00,34.18,34.08,34.04,34.00,34.14,34.04,34.00,34.01,34.00,34.00,198.7,74.6,206.1,79.8,76.5,56.8,103.1,7.4,5.5,8.5,9.9,6.2,283.6,123.1,186.3,52.1,48.2,54.1,4.2,0.0,9.3,2.5,0.0,8.4,4.1,3.3,4.7,3.4,2.5,4.9,5.3,5.3,12.1,12.5,33.62,33.76,33.47,38.9,0.0,0.11,0.00,0.00,0.00,,
150.0871663,15:43:34,34.13,34.50,33.96,33.99,34.03,33.99,33.99,34.01,34.04,34.02,34.01,34.01,34.00,34.27,33.93,34.04,33.94,33.94,34.08,33.50,34.00,34.02,33.57,34.00,34.17,34.07,34.03,34.00,34.12,34.06,34.01,34.01,34.01,34.00,194.9,65.4,207.7,78.8,77.6,59.2,101.0,7.9,4.6,8.0,9.5,5.8,283.8,127.1,184.4,49.7,50.2,52.8,6.3,0.0,9.7,1.8,0.0,7.8,7.6,2.9,2.2,4.2,4.2,7.8,3.4,3.8,13.1,11.9,33.62,33.77,33.48,38.9,0.0,0.11,0.00,0.00,0.00,,
180.1253712,15:44:04,34.05,34.41,33.95,33.99,34.02,33.99,33.99,34.01,34.05,34.03,34.01,34.01,33.97,34.17,33.93,34.02,33.94,33.96,34.05,33.47,34.00,34.03,33.56,34.00,34.16,34.07,34.03,34.00,34.13,34.06,34.00,34.01,34.01,34.00,201.3,68.3,209.3,76.6,79.3,59.4,100.5,6.7,3.9,7.7,8.4,5.4,282.1,136.8,183.8,52.5,52.4,52.0,6.9,0.0,9.9,1.4,0.0,8.4,7.4,1.7,2.0,4.0,3.6,7.1,3.2,4.5,12.0,11.6,33.63,33.77,33.48,38.9,0.0,0.12,0.00,0.00,0.00,,
210.1295936,15:44:34,33.94,34.34,33.97,33.99,34.02,34.01,34.01,34.01,34.03,34.02,34.01,34.00,34.01,34.23,33.97,34.04,33.94,33.97,34.08,33.44,33.99,34.03,33.56,34.00,34.14,34.05,34.02,34.00,34.13,34.05,34.01,34.00,34.01,34.01,218.7,70.9,209.1,77.3,78.9,56.7,100.0,7.6,2.6,6.2,8.5,5.1,282.3,124.7,180.5,48.5,51.6,50.8,8.7,0.0,11.8,1.8,0.0,8.6,10.4,2.6,5.8,3.8,2.6,6.1,3.7,5.5,11.4,11.8,33.63,33.78,33.48,38.9,0.0,0.12,0.00,0.00,0.00,,
240.1458023,15:45:04,33.96,34.28,33.99,33.99,34.04,33.99,34.03,34.01,34.02,34.02,34.01,34.00,34.00,34.15,33.90,34.02,33.93,33.96,34.05,33.42,34.00,34.03,33.56,34.00,34.16,34.06,34.03,34.00,34.17,34.05,34.00,34.00,34.01,34.01,221.8,72.6,208.1,78.8,74.5,58.9,95.7,6.7,4.9,6.9,6.6,4.8,277.1,128.7,188.7,48.7,54.8,50.3,10.1,0.0,10.6,1.8,0.0,7.8,7.7,1.4,4.6,3.6,5.7,4.9,3.5,4.3,9.6,12.6,33.63,33.78,33.48,38.8,0.0,0.12,0.00,0.00,0.00,,
270.1590216,15:45:34,34.03,34.30,34.05,34.02,34.04,33.98,34.04,34.02,34.02,34.02,34.01,34.01,33.96,34.13,33.91,34.01,33.94,33.96,34.06,33.36,34.00,34.03,33.55,34.00,34.17,34.05,34.05,34.00,34.16,34.06,34.00,34.00,34.01,34.00,209.5,63.4,198.8,75.3,73.4,60.1,94.6,6.6,3.9,6.4,8.6,5.4,287.4,131.8,191.5,49.7,56.2,51.0,11.0,0.0,9.4,1.3,0.0,7.2,8.3,3.6,2.1,3.8,6.5,6.5,4.2,3.6,11.5,12.2,33.63,33.77,33.48,38.8,0.0,0.12,0.00,0.00,0.00,,
300.1742467,15:46:04,34.07,34.26,34.01,34.01,34.07,34.00,34.05,34.01,34.03,34.01,34.01,34.00,34.08,34.15,33.99,34.01,33.98,33.98,34.03,33.33,34.01,34.04,33.52,34.01,34.14,34.05,34.04,34.00,34.12,34.06,34.01,34.01,33.99,34.01,201.8,63.7,200.8,76.6,67.7,58.9,91.1,6.0,3.4,6.0,7.6,4.6,269.7,127.7,182.7,51.2,52.3,50.3,10.4,0.0,7.1,0.9,0.0,7.2,4.3,3.4,2.9,3.9,2.5,3.7,3.5,5.3,10.6,11.5,33.63,33.77,33.48,38.8,0.0,0.12,0.00,0.00,0.00,,
330.1984803,15:46:34,34.11,34.21,33.96,33.99,34.06,34.01,34.05,34.01,34.03,34.01,34.01,34.01,34.10,34.17,34.02,34.02,33.98,34.00,34.02,33.30,34.00,34.05,33.53,34.00,34.15,34.04,34.04,34.01,34.15,34.07,34.00,34.00,34.00,34.00,191.9,64.4,208.3,79.0,64.4,57.1,88.9,5.1,2.2,7.2,7.5,6.7,259.8,119.8,176.2,51.7,52.2,50.2,12.8,0.0,9.7,3.5,0.0,7.1,6.0,5.4,1.2,3.2,5.3,7.7,4.7,5.3,13.1,11.4,33.62,33.77,33.47,38.7,0.0,0.12,0.00,0.00,0.00,,
360.2027218,15:47:04,34.13,34.18,33.96,34.01,34.05,34.00,34.07,34.02,34.03,34.01,34.01,34.00,34.06,34.17,34.03,34.01,33.98,34.01,34.03,33.27,34.01,34.06,33.52,34.01,34.13,34.04,34.04,34.00,34.13,34.07,34.00,34.01,34.03,34.01,187.6,64.2,211.3,77.6,66.3,57.5,85.1,5.0,2.3,6.7,7.2,5.7,266.3,115.9,175.3,50.3,50.0,48.1,10.6,0.0,10.1,0.9,0.0,6.4,10.8,2.8,1.9,3.4,4.9,5.6,3.3,5.5,12.7,11.2,33.62,33.77,33.47,38.7,0.0,0.12,0.00,0.00,0.00,,
390.2159517,15:47:34,34.11,34.16,33.99,34.01,34.06,34.01,34.10,34.02,34.02,34.01,34.01,34.00,34.03,34.15,34.05,34.01,33.99,34.04,34.04,33.25,34.01,34.06,33.52,34.00,34.10,34.04,34.04,34.00,34.13,34.08,34.01,34.01,34.01,34.00,187.3,63.4,208.5,74.9,64.4,57.6,80.0,4.5,2.5,7.6,6.7,5.9,270.3,113.8,171.9,51.7,48.4,45.8,10.7,0.0,9.2,1.4,0.0,6.8,4.5,2.4,1.4,3.5,1.7,5.1,6.6,5.0,10.6,11.3,33.62,33.77,33.47,38.7,0.0,0.11,0.00,0.00,0.00,,
