[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/02/2018,15:50:18
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\straight.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0261205,15:50:48,34.01,34.00,34.01,34.01,34.01,34.01,34.01,34.01,34.00,34.00,34.00,34.00,34.00,33.99,34.01,34.00,34.00,34.00,34.00,30.64,34.01,34.00,31.67,34.00,34.00,34.00,33.99,34.00,34.00,34.01,34.01,34.01,34.00,34.01,139.8,107.7,121.1,109.6,112.9,113.8,124.3,114.7,118.3,127.1,122.2,131.2,113.8,108.9,115.8,36.9,95.3,54.7,33.4,0.0,63.8,22.6,0.0,60.4,69.1,55.5,65.9,52.2,102.5,80.7,98.2,70.3,168.9,160.7,20.26,20.34,20.19,46.6,0.0,0.28,0.00,0.00,0.00,,
60.0382117,15:51:19,34.00,34.01,34.02,34.01,34.00,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.03,34.02,34.01,34.00,34.00,34.01,30.62,34.01,34.01,31.67,34.00,33.99,33.99,34.00,34.00,34.01,34.01,34.00,34.00,34.00,34.01,139.1,106.0,119.6,109.5,114.1,114.1,123.8,114.8,118.7,127.0,121.4,131.1,113.5,106.4,113.6,37.9,95.5,56.2,31.4,0.0,63.8,22.1,0.0,61.2,70.4,54.2,65.6,51.2,102.5,79.7,99.9,69.7,167.0,163.2,20.27,20.35,20.20,46.7,0.0,0.26,0.00,0.00,0.00,,
90.0553152,15:51:49,34.03,34.02,34.00,34.01,34.01,34.01,34.01,34.01,34.00,34.00,34.00,34.00,33.99,34.08,33.99,34.01,34.00,34.00,34.00,30.64,33.99,34.01,31.67,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.00,34.01,34.00,34.00,136.1,106.4,120.6,108.2,111.9,113.6,124.4,114.3,117.4,126.5,122.5,130.7,114.6,101.1,116.2,37.6,95.2,55.4,30.8,0.0,65.6,20.0,0.0,62.5,67.1,56.2,65.7,51.3,102.9,82.7,100.6,71.2,168.1,163.3,20.28,20.36,20.21,46.6,0.0,0.26,0.00,0.00,0.00,,
120.0674154,15:52:19,34.06,34.13,34.00,34.01,34.00,34.01,34.00,34.01,34.01,34.01,34.01,34.01,34.00,34.07,34.01,34.01,34.00,34.00,34.01,30.64,34.00,34.00,31.68,34.00,34.01,34.00,34.00,34.00,34.01,34.00,34.00,33.99,34.01,34.00,128.4,89.8,122.3,108.4,113.2,113.3,125.0,114.1,117.9,126.4,121.4,130.5,115.5,96.1,114.9,37.6,95.6,55.8,31.5,0.0,64.9,21.5,0.0,60.4,70.2,54.2,67.7,52.0,105.1,80.3,99.4,70.8,168.3,160.9,20.29,20.37,20.22,46.6,0.0,0.25,0.00,0.00,0.00,,
150.0805181,15:52:49,34.07,34.22,34.00,34.01,34.00,34.00,34.00,34.00,34.00,34.01,34.01,34.01,34.00,34.07,34.01,34.01,34.00,34.00,34.00,30.65,34.00,34.01,31.68,34.00,34.01,34.01,34.01,34.00,34.00,33.99,34.01,34.01,34.01,34.01,128.1,73.2,120.2,109.1,112.1,113.0,124.0,115.2,118.6,128.2,121.6,129.7,114.8,96.4,115.3,35.9,95.5,55.9,30.8,0.0,64.9,21.9,0.0,61.1,67.2,56.8,64.3,51.3,101.4,79.1,97.2,73.0,169.3,164.8,20.29,20.37,20.22,46.5,0.0,0.25,0.00,0.00,0.00,,
180.0976451,15:53:19,34.08,34.25,34.00,34.00,34.01,34.01,34.01,34.00,34.01,34.01,34.00,34.01,33.99,34.06,34.00,34.01,34.00,34.00,34.01,30.64,33.99,34.00,31.69,34.00,33.99,34.00,34.00,33.99,34.00,34.00,34.00,34.02,34.00,34.00,123.4,62.6,121.3,109.2,110.2,113.7,123.5,115.6,117.6,126.2,122.2,130.4,115.2,97.5,116.3,36.7,95.0,55.5,32.1,0.0,61.4,19.6,0.0,61.2,69.0,55.8,65.8,51.2,102.2,78.8,99.9,70.8,165.4,163.6,20.29,20.36,20.21,46.5,0.0,0.24,0.00,0.00,0.00,,
210.1137516,15:53:49,34.07,34.25,34.00,34.01,34.00,34.00,33.99,34.00,34.01,34.00,34.00,34.00,34.00,34.05,34.00,34.00,34.01,34.00,34.02,30.64,33.99,34.00,31.68,34.01,34.00,34.01,34.00,34.00,34.00,33.99,34.00,34.00,33.99,34.00,122.5,58.8,121.8,110.2,112.7,113.9,125.1,117.4,117.4,127.7,122.4,131.3,116.8,94.5,115.3,37.4,96.6,55.9,33.2,0.0,63.2,21.8,0.0,60.7,69.5,54.4,66.1,51.5,100.9,77.7,98.6,70.0,169.3,163.7,20.27,20.35,20.19,46.6,0.0,0.24,0.00,0.00,0.00,,
240.124862,15:54:19,34.07,34.24,34.00,34.01,34.00,34.00,34.02,34.01,34.01,34.00,34.01,33.99,34.00,34.03,34.01,34.01,34.00,34.01,34.00,30.63,34.00,34.00,31.68,34.01,34.02,34.01,34.00,34.00,34.00,34.01,34.00,34.01,34.00,34.00,121.3,51.1,121.7,109.1,108.0,113.3,122.6,115.6,117.6,128.4,122.1,131.6,114.7,95.4,114.7,36.8,96.0,55.3,31.9,0.0,64.1,21.3,0.0,61.8,69.5,55.6,66.4,52.5,101.6,81.1,99.7,70.3,168.1,164.0,20.26,20.33,20.18,46.6,0.0,0.26,0.00,0.00,0.00,,
270.1409574,15:54:49,34.06,34.23,34.00,34.00,34.00,34.01,34.00,34.00,34.01,34.01,34.00,34.00,33.99,34.04,34.00,34.01,34.00,34.00,34.00,30.64,34.00,34.00,31.68,34.00,33.99,34.00,34.00,34.01,34.01,34.00,33.99,33.99,34.02,34.00,121.6,48.7,121.5,109.7,111.1,113.1,123.8,115.7,117.0,126.0,120.8,131.0,116.1,96.9,115.9,35.9,94.6,55.6,31.4,0.0,65.5,19.7,0.0,61.1,70.9,56.8,66.7,51.0,103.1,78.2,101.2,70.5,164.8,165.3,20.25,20.32,20.17,46.7,0.0,0.24,0.00,0.00,0.00,,
