[Test Data]
Format 2
Experiment Type:,dry
Test Date:,27/02/2018,11:31:57
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\very curly brushed.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0182668,11:32:27,33.96,33.87,33.98,34.02,34.00,33.99,34.01,34.00,33.99,34.00,34.00,33.99,33.99,34.00,33.99,34.00,34.00,33.99,34.02,30.72,34.00,34.00,31.71,33.99,34.00,34.01,33.99,34.00,34.04,34.02,33.99,34.01,34.02,34.01,125.8,74.6,122.3,107.0,110.3,112.4,120.4,108.9,114.1,129.2,119.7,129.4,120.4,97.5,117.6,36.2,90.9,51.2,30.9,0.0,62.9,20.4,0.0,60.3,67.5,53.4,65.4,51.1,106.0,76.8,102.3,69.4,164.6,156.1,20.49,20.59,20.39,46.9,0.0,0.21,0.00,0.00,0.00,,
60.035377,11:32:57,33.98,33.93,34.00,34.00,34.00,34.00,33.99,34.00,33.99,34.00,34.00,34.01,34.00,34.02,34.00,34.01,34.00,34.01,34.02,30.72,33.99,33.99,31.72,34.00,34.01,34.00,34.01,34.00,34.01,33.98,34.01,34.00,33.96,34.00,122.8,69.8,121.2,106.3,109.9,112.3,120.9,109.4,114.4,129.4,120.3,128.5,119.3,93.6,118.8,34.7,91.7,53.1,29.9,0.0,61.3,20.1,0.0,59.9,67.8,54.9,63.5,51.1,102.4,80.9,98.4,67.3,162.4,158.4,20.49,20.59,20.38,47.0,0.0,0.19,0.00,0.00,0.00,,
90.048497,11:33:27,33.97,33.96,33.99,34.01,34.00,34.00,34.01,34.01,34.00,34.01,34.00,34.00,33.99,34.00,34.00,34.00,34.00,34.01,34.00,30.71,33.99,34.00,31.72,34.00,34.00,34.00,33.99,34.00,34.04,34.02,34.00,34.00,33.97,34.00,124.7,64.1,120.7,106.0,108.6,111.9,119.7,108.0,112.6,128.3,119.3,129.1,121.0,96.5,117.4,39.1,90.7,51.9,30.4,0.0,62.1,21.0,0.0,58.9,65.8,57.0,64.2,50.9,102.7,78.4,97.1,68.3,174.7,158.4,20.48,20.59,20.36,46.9,0.0,0.19,0.00,0.00,0.00,,
120.080689,11:33:57,33.97,33.99,33.99,34.00,34.01,34.00,34.00,34.01,34.00,34.00,34.01,34.00,33.99,34.02,34.01,34.01,34.00,34.01,34.00,30.71,34.00,34.00,31.71,34.00,33.99,34.00,34.00,34.00,33.98,33.99,34.01,33.99,34.02,34.02,125.1,60.9,121.7,104.5,107.2,111.6,120.7,108.5,112.5,128.8,119.4,127.7,121.6,94.1,116.1,35.2,90.2,52.5,30.2,0.0,62.5,20.9,0.0,59.5,68.8,53.5,64.6,50.2,107.1,84.0,99.1,69.1,164.4,155.8,20.47,20.58,20.35,47.0,0.0,0.19,0.00,0.00,0.00,,
150.0798643,11:34:27,33.99,34.01,34.00,33.99,34.00,34.00,34.01,34.01,34.00,33.99,33.99,34.01,34.00,34.01,34.00,34.01,34.00,34.01,34.00,30.72,34.00,34.00,31.71,34.00,34.02,34.01,34.00,34.00,33.99,34.01,34.01,34.00,34.00,34.00,122.6,58.4,121.5,107.0,108.9,111.0,119.4,108.0,113.1,128.9,120.8,126.9,120.0,95.1,117.5,35.7,91.8,52.6,31.1,0.0,62.0,20.7,0.0,59.2,68.3,54.4,64.1,51.6,105.7,74.4,96.9,67.8,172.6,157.8,20.45,20.58,20.32,47.1,0.0,0.21,0.00,0.00,0.00,,
180.0930613,11:34:57,33.99,34.01,33.99,34.00,34.00,34.00,33.99,33.99,33.99,34.00,33.99,34.00,34.00,33.98,33.99,33.99,34.00,34.00,34.01,30.72,34.01,34.01,31.74,34.00,33.99,33.99,34.01,34.00,34.00,33.98,33.99,34.00,33.98,33.99,124.2,58.5,122.1,107.3,109.4,112.9,119.9,109.4,114.7,128.9,119.3,130.5,119.9,100.0,118.7,36.3,93.2,52.6,31.7,0.0,61.1,21.6,0.0,59.6,67.0,56.1,65.5,52.0,107.3,81.2,99.5,68.4,169.5,157.9,20.43,20.56,20.29,47.2,0.0,0.22,0.00,0.00,0.00,,
210.1072436,11:35:27,34.00,34.02,34.01,33.99,34.01,33.99,34.01,33.99,34.00,33.99,34.00,33.99,34.01,33.95,34.01,34.00,33.99,34.00,34.00,30.72,34.01,33.99,31.73,34.00,33.98,34.00,34.00,34.00,34.00,33.98,34.00,33.99,33.98,33.99,124.8,56.1,120.2,107.2,107.7,113.1,120.8,109.4,114.7,130.2,120.5,130.8,117.2,103.5,118.5,33.9,92.1,52.4,30.9,0.0,61.3,18.7,0.0,57.9,69.1,53.4,62.5,50.9,103.4,77.4,98.9,69.6,167.2,157.4,20.41,20.54,20.27,47.2,0.0,0.22,0.00,0.00,0.00,,
240.1234444,11:35:57,34.00,34.02,34.00,33.98,34.00,33.99,34.00,34.00,34.00,33.99,34.00,34.00,34.00,33.95,34.00,34.00,34.00,34.00,33.98,30.72,33.99,34.00,31.72,34.00,34.00,33.99,34.00,34.00,33.99,34.01,34.01,34.00,33.99,33.99,121.6,55.1,120.5,108.7,107.8,113.5,120.8,109.6,114.2,130.9,120.3,129.5,116.2,104.6,116.9,35.2,91.7,51.9,30.5,0.0,61.9,19.8,0.0,59.7,70.0,56.3,64.1,51.9,92.9,80.4,100.7,70.3,167.6,159.1,20.40,20.53,20.26,47.2,0.0,0.19,0.00,0.00,0.00,,
270.138602,11:36:27,33.99,34.02,34.00,33.98,34.01,33.99,34.00,33.99,34.00,33.99,33.99,33.99,34.01,33.96,33.99,34.00,34.00,34.00,33.99,30.72,34.01,34.01,31.73,34.00,33.99,34.00,34.00,33.99,33.93,34.00,33.99,34.00,34.03,33.98,123.3,54.9,120.4,110.2,107.8,114.5,120.5,110.0,114.0,131.7,121.6,131.4,115.5,106.5,117.2,35.5,92.1,52.6,29.3,0.0,62.8,20.2,0.0,58.4,69.4,55.1,64.3,51.5,107.4,74.1,99.8,69.3,176.1,155.3,20.38,20.52,20.24,47.1,0.0,0.22,0.00,0.00,0.00,,
