[Test Data]
Format 2
Experiment Type:,dry
Test Date:,02/03/2018,13:17:07
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\very curly wet with rad.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0164709,13:17:37,33.75,34.07,33.87,34.00,33.76,33.90,34.17,34.28,34.20,34.26,34.13,34.24,34.00,34.26,33.92,33.93,34.02,33.92,34.15,31.15,33.95,33.94,31.78,33.97,34.49,34.51,34.27,34.41,34.48,34.51,34.36,34.38,34.24,34.21,261.5,271.4,229.7,134.3,255.5,168.4,37.9,0.4,44.4,0.6,1.1,1.3,359.3,286.1,295.9,69.6,143.0,68.4,6.8,0.0,26.8,22.0,0.0,38.1,0.3,0.0,0.6,0.0,0.4,0.7,1.1,1.3,6.3,1.5,34.20,34.33,34.07,38.6,0.0,0.12,0.00,0.00,0.00,,
60.0268271,13:18:07,33.94,34.48,34.04,34.06,33.91,34.00,34.18,34.26,34.21,34.24,34.12,34.24,34.28,34.64,34.07,33.98,34.06,33.96,34.13,31.16,33.97,33.96,31.79,34.00,34.49,34.51,34.24,34.40,34.48,34.51,34.36,34.38,34.25,34.20,231.8,208.0,204.5,123.9,238.4,154.5,32.6,0.6,38.5,0.2,1.3,0.6,306.4,207.0,269.9,65.4,137.3,68.2,7.4,0.0,25.5,22.0,0.0,35.5,1.1,0.4,3.0,0.0,0.0,0.4,0.0,0.5,4.7,0.0,34.20,34.33,34.07,38.7,0.0,0.12,0.00,0.00,0.00,,
90.0451642,13:18:37,34.04,34.69,34.08,34.07,34.00,34.06,34.20,34.26,34.23,34.24,34.12,34.24,34.30,34.67,34.11,34.00,34.07,34.00,34.12,31.16,33.98,33.96,31.79,34.01,34.48,34.50,34.25,34.39,34.50,34.50,34.36,34.38,34.24,34.20,214.4,161.5,193.0,119.8,223.2,146.4,25.1,0.4,28.0,0.4,0.4,0.0,295.1,181.7,262.9,58.1,132.8,63.8,7.4,0.0,23.0,18.8,0.0,34.4,3.4,0.9,2.3,0.2,3.3,0.5,0.2,1.1,2.4,0.7,34.21,34.34,34.08,38.6,0.0,0.12,0.00,0.00,0.00,,
120.0565525,13:19:07,34.10,34.84,34.21,34.08,34.03,34.09,34.23,34.25,34.22,34.22,34.12,34.26,34.41,34.86,34.14,34.05,34.09,34.00,34.09,31.16,33.97,33.98,31.81,34.01,34.47,34.50,34.24,34.39,34.48,34.50,34.36,34.38,34.23,34.19,204.7,125.5,171.7,117.4,215.6,139.2,17.8,0.0,22.3,1.2,0.2,0.2,267.9,147.7,260.6,56.3,128.0,59.2,7.8,0.0,25.4,19.5,0.0,32.7,4.7,1.2,2.2,0.1,0.3,0.0,1.6,0.2,0.1,1.0,34.22,34.35,34.10,38.6,0.0,0.12,0.00,0.00,0.00,,
150.0729559,13:19:37,34.10,34.90,34.29,34.12,34.05,34.10,34.23,34.25,34.23,34.21,34.13,34.27,34.44,34.87,34.15,34.06,34.09,34.01,34.06,31.17,33.99,34.00,31.82,34.02,34.45,34.48,34.23,34.39,34.47,34.49,34.37,34.37,34.23,34.18,200.5,95.2,154.0,106.5,213.0,135.5,9.9,0.0,16.5,0.0,1.8,0.0,251.5,120.3,251.7,52.0,124.8,62.5,9.9,0.0,22.3,16.4,0.0,32.4,0.3,0.9,1.2,0.2,0.0,0.0,1.5,0.0,0.5,0.2,34.24,34.36,34.12,38.6,0.0,0.12,0.00,0.00,0.00,,
180.0853119,13:20:07,34.13,34.90,34.31,34.15,34.05,34.11,34.23,34.25,34.22,34.21,34.14,34.28,34.47,34.85,34.21,34.08,34.07,33.99,34.05,31.17,34.00,33.99,31.82,34.02,34.45,34.47,34.22,34.39,34.48,34.48,34.37,34.37,34.22,34.19,195.8,74.4,143.9,102.7,211.3,131.2,3.6,0.0,10.8,0.1,0.8,0.0,235.8,102.3,241.6,47.5,127.8,61.9,9.5,0.0,23.5,18.4,0.0,30.8,8.1,0.8,0.8,0.0,0.0,0.4,0.4,0.7,0.4,4.5,34.25,34.36,34.15,38.5,0.0,0.11,0.00,0.00,0.00,,
210.1016899,13:20:37,34.13,34.90,34.32,34.16,34.07,34.10,34.22,34.26,34.21,34.21,34.14,34.30,34.48,34.83,34.25,34.11,34.06,33.98,34.05,31.18,34.00,34.00,31.83,34.02,34.47,34.47,34.23,34.37,34.48,34.48,34.36,34.36,34.23,34.19,193.2,54.2,135.3,95.8,210.5,129.1,0.6,0.1,7.3,0.4,1.0,0.0,220.1,80.0,229.9,36.7,126.6,61.6,10.3,0.0,23.4,17.7,0.0,30.0,7.4,0.6,0.6,0.3,0.5,0.1,0.7,0.1,0.7,3.3,34.26,34.36,34.16,38.3,0.0,0.11,0.00,0.00,0.00,,
240.1160809,13:21:07,34.13,34.83,34.30,34.15,34.07,34.10,34.23,34.25,34.20,34.21,34.14,34.30,34.43,34.71,34.24,34.12,34.06,33.99,34.03,31.17,34.00,34.01,31.84,34.03,34.48,34.47,34.21,34.38,34.49,34.49,34.35,34.35,34.24,34.20,190.3,40.9,129.6,92.8,208.2,127.5,1.0,0.0,4.4,0.5,1.3,0.0,216.1,77.2,224.8,41.2,127.2,62.7,9.6,0.0,22.9,16.7,0.0,29.4,0.6,1.0,1.6,0.0,2.1,0.8,0.0,0.2,7.1,2.6,34.27,34.37,34.18,38.2,0.0,0.12,0.00,0.00,0.00,,
270.1304746,13:21:37,34.12,34.76,34.28,34.13,34.08,34.08,34.23,34.27,34.18,34.21,34.14,34.32,34.40,34.63,34.25,34.09,34.05,33.99,34.04,31.18,34.01,34.01,31.85,34.03,34.46,34.45,34.21,34.38,34.48,34.48,34.35,34.37,34.25,34.21,189.1,35.8,126.3,90.7,207.0,128.0,0.1,0.9,1.4,0.1,0.3,0.0,210.9,81.0,223.3,36.9,126.2,60.8,9.9,0.0,21.7,17.9,0.0,28.0,0.6,0.0,2.8,0.0,0.1,0.2,0.4,1.6,1.5,4.1,34.29,34.38,34.20,38.1,0.0,0.12,0.00,0.00,0.00,,
