[Test Data]
Format 2
Experiment Type:,dry
Test Date:,02/03/2018,12:17:57
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\very curly wet.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0264084,12:18:27,33.48,33.83,33.52,33.76,33.78,33.82,34.42,34.43,34.50,34.40,34.21,34.57,33.69,33.88,33.85,33.80,33.81,33.79,34.33,33.66,34.18,34.14,33.30,34.07,34.48,34.51,34.26,34.29,34.57,34.54,34.38,34.34,34.24,34.20,270.9,259.0,249.9,92.2,230.8,154.5,30.3,0.3,39.8,0.4,2.0,0.4,401.5,351.5,247.1,89.6,67.1,79.1,0.1,0.0,1.1,5.5,0.0,1.9,0.7,0.0,2.3,0.0,0.9,0.3,0.0,0.0,0.5,0.6,34.32,34.40,34.25,38.4,0.0,0.12,0.00,0.00,0.00,,
60.0377102,12:18:57,33.72,34.21,33.73,33.79,33.96,33.92,34.42,34.41,34.48,34.37,34.20,34.57,34.14,34.43,33.96,33.89,33.87,33.82,34.31,33.63,34.16,34.13,33.30,34.05,34.46,34.50,34.25,34.29,34.58,34.56,34.38,34.34,34.22,34.19,239.8,192.8,225.2,95.8,202.9,142.3,20.7,0.0,31.8,0.5,1.0,0.0,329.1,239.4,232.9,81.2,62.7,78.4,0.8,0.0,0.4,6.3,0.0,2.5,0.1,0.2,1.5,0.8,0.0,0.9,0.3,0.0,0.1,0.1,34.32,34.40,34.24,38.3,0.0,0.12,0.00,0.00,0.00,,
90.0550481,12:19:27,33.86,34.47,33.84,33.80,34.07,33.99,34.40,34.39,34.44,34.35,34.20,34.56,34.31,34.68,33.98,34.00,33.88,33.85,34.28,33.61,34.14,34.09,33.28,34.04,34.44,34.50,34.23,34.28,34.56,34.55,34.37,34.35,34.22,34.18,229.2,153.2,211.5,96.8,185.6,134.5,12.9,0.4,25.2,0.3,1.0,0.2,291.4,193.3,226.0,67.9,62.1,79.7,2.2,0.0,1.1,7.0,0.0,2.4,0.2,0.0,0.6,0.3,0.6,0.9,0.1,1.0,1.3,1.2,34.32,34.40,34.23,38.3,0.0,0.11,0.00,0.00,0.00,,
120.0683495,12:19:57,33.97,34.59,33.94,33.82,34.12,34.03,34.38,34.38,34.41,34.34,34.20,34.56,34.36,34.74,33.96,34.02,33.90,33.88,34.26,33.62,34.13,34.10,33.26,34.04,34.42,34.49,34.21,34.27,34.57,34.54,34.38,34.34,34.20,34.18,211.4,123.8,201.7,99.6,171.8,129.4,7.1,0.0,17.8,0.7,0.9,0.3,274.1,163.4,226.8,63.5,60.6,77.5,3.0,0.0,0.7,7.5,0.0,2.8,1.8,1.0,1.6,0.1,2.2,0.7,0.8,0.5,0.0,1.4,34.31,34.40,34.23,38.3,0.0,0.11,0.00,0.00,0.00,,
150.0857124,12:20:27,34.04,34.65,34.05,33.82,34.17,34.06,34.36,34.38,34.40,34.33,34.20,34.55,34.44,34.71,33.99,34.03,33.91,33.93,34.23,33.59,34.12,34.08,33.24,34.03,34.42,34.49,34.20,34.28,34.57,34.54,34.38,34.34,34.20,34.18,202.6,98.1,178.9,103.8,161.9,124.1,1.0,0.0,12.9,1.0,0.9,0.0,255.2,148.3,224.1,57.7,61.9,76.3,1.9,0.0,2.5,7.2,0.0,3.4,0.0,1.1,1.8,0.1,1.0,0.7,1.0,0.2,0.2,0.1,34.32,34.41,34.23,38.3,0.0,0.11,0.00,0.00,0.00,,
180.0980369,12:20:57,34.05,34.66,34.10,33.82,34.19,34.05,34.33,34.38,34.36,34.33,34.19,34.53,34.47,34.65,34.03,34.06,33.91,33.96,34.21,33.56,34.12,34.06,33.23,34.02,34.42,34.48,34.19,34.28,34.56,34.54,34.37,34.34,34.21,34.17,197.7,82.6,171.6,110.6,151.8,122.5,0.9,0.0,7.2,0.6,0.2,0.6,236.8,142.6,217.0,51.5,63.0,70.3,2.5,0.0,3.0,6.5,0.0,3.8,2.1,0.1,2.4,0.7,0.5,2.9,0.4,0.8,0.9,0.4,34.31,34.40,34.22,38.2,0.0,0.12,0.00,0.00,0.00,,
210.1123654,12:21:27,34.07,34.66,34.16,33.84,34.18,34.03,34.31,34.38,34.33,34.32,34.19,34.52,34.44,34.62,34.06,34.06,33.91,33.96,34.21,33.54,34.10,34.06,33.20,34.02,34.41,34.48,34.19,34.27,34.55,34.54,34.38,34.34,34.21,34.16,195.1,65.0,159.9,110.7,148.3,126.1,0.2,0.0,3.2,0.0,0.1,0.0,226.8,135.7,213.3,50.5,65.2,70.7,3.6,0.0,2.0,8.1,0.0,3.2,0.6,0.0,1.3,0.3,0.0,0.8,0.1,0.5,6.3,0.2,34.31,34.40,34.21,38.2,0.0,0.11,0.00,0.00,0.00,,
240.1266989,12:21:57,34.08,34.60,34.16,33.85,34.19,34.04,34.30,34.37,34.30,34.32,34.19,34.51,34.41,34.56,34.06,34.06,33.88,33.99,34.18,33.51,34.10,34.05,33.16,34.02,34.40,34.48,34.18,34.27,34.55,34.53,34.38,34.35,34.22,34.16,189.8,59.6,155.2,111.6,143.2,122.8,0.1,0.0,1.8,0.4,0.2,0.0,224.2,127.6,211.9,48.5,71.0,69.6,3.9,0.0,0.6,4.5,0.0,2.9,0.0,0.0,0.9,0.3,0.0,0.3,0.2,2.7,1.6,0.0,34.31,34.40,34.21,38.1,0.0,0.12,0.00,0.00,0.00,,
270.1430024,12:22:27,34.11,34.55,34.16,33.86,34.18,34.04,34.29,34.37,34.28,34.32,34.20,34.51,34.38,34.46,34.06,34.08,33.88,34.02,34.18,33.49,34.09,34.04,33.13,34.02,34.43,34.47,34.18,34.26,34.54,34.52,34.36,34.34,34.22,34.16,184.1,52.6,151.4,114.3,139.9,123.0,0.2,0.2,0.1,0.1,1.7,0.3,219.8,128.7,213.0,47.9,77.0,66.5,2.0,0.0,1.7,6.2,0.0,3.4,4.8,1.0,0.5,0.3,0.0,0.4,0.7,1.6,1.2,0.9,34.30,34.40,34.20,38.1,0.0,0.11,0.00,0.00,0.00,,
