[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/02/2018,09:48:14
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina Lasisi\warmup.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,09:48:44,27.70,27.99,28.85,27.77,28.69,28.01,28.18,27.90,28.40,27.50,25.70,26.44,28.97,28.60,28.65,30.97,28.88,30.90,32.21,30.27,30.85,32.01,30.29,30.76,29.95,30.75,30.29,30.81,29.90,29.30,28.78,29.17,26.44,26.41,40.5,34.0,32.0,36.3,34.0,39.9,37.7,36.2,39.9,40.8,62.4,65.8,31.4,35.1,34.8,20.9,35.4,15.6,14.8,0.0,20.2,14.3,0.0,23.4,29.7,25.8,27.0,23.1,33.1,36.8,37.5,36.0,51.7,51.7,18.99,19.27,18.71,24.2,0.0,0.00,0.00,0.00,0.00,,
60.0289055,09:49:14,27.95,28.22,29.05,28.07,28.94,28.25,28.46,28.17,28.66,27.81,26.29,26.61,29.15,28.76,28.82,31.05,29.17,30.97,32.27,30.22,30.95,32.12,30.25,30.85,30.13,30.83,30.41,30.90,30.03,29.47,29.01,29.33,26.74,26.75,144.8,134.4,121.0,143.9,125.1,132.0,126.5,125.1,136.8,137.3,188.8,241.0,119.9,135.1,131.1,71.8,116.1,60.4,44.1,0.0,69.5,48.9,0.0,76.3,93.6,80.9,90.6,82.5,104.3,124.2,118.6,122.4,176.5,175.3,18.94,19.21,18.67,24.4,0.0,0.00,0.00,0.00,0.00,,
90.0433582,09:49:44,28.46,28.67,29.45,28.59,29.40,28.68,28.93,28.67,29.16,28.37,27.16,27.30,29.51,29.14,29.20,31.27,29.66,31.16,32.40,30.18,31.15,32.28,30.20,31.07,30.47,31.07,30.68,31.12,30.31,29.85,29.43,29.71,27.33,27.38,207.6,192.2,173.3,202.1,174.0,196.6,178.5,177.1,186.0,195.8,238.4,324.8,175.8,200.6,191.7,104.1,155.5,90.3,64.1,0.0,103.8,67.8,0.0,111.9,128.3,122.0,132.7,119.1,159.7,174.1,165.6,176.0,241.6,243.6,18.90,19.16,18.64,24.9,0.0,0.32,0.00,0.00,0.00,,
120.0578109,09:50:14,29.09,29.23,29.94,29.21,29.91,29.24,29.48,29.26,29.70,28.95,28.06,28.24,30.02,29.61,29.68,31.58,30.20,31.38,32.58,30.13,31.43,32.47,30.15,31.34,30.85,31.36,31.03,31.41,30.70,30.28,29.94,30.19,28.04,28.11,241.2,223.4,202.1,233.3,199.1,233.8,206.3,204.3,210.7,233.1,252.1,330.7,201.1,239.7,227.3,120.8,172.7,108.6,74.2,0.0,127.5,79.1,0.0,134.1,150.5,143.3,156.0,139.8,192.1,204.5,189.1,205.4,280.6,282.2,18.87,19.13,18.60,24.8,0.0,0.00,0.00,0.00,0.00,,
150.0722636,09:50:44,29.73,29.84,30.47,29.84,30.41,29.80,30.05,29.85,30.26,29.57,28.92,29.17,30.48,30.14,30.17,31.89,30.71,31.70,32.75,30.10,31.69,32.65,30.13,31.63,31.26,31.71,31.39,31.71,31.03,30.73,30.45,30.68,28.79,28.86,252.2,235.3,212.1,247.5,211.8,254.5,220.5,217.6,222.2,251.6,251.8,311.6,221.4,262.1,247.5,127.5,175.2,118.4,83.4,0.0,141.8,86.0,0.0,150.9,157.4,150.2,167.4,150.6,213.4,217.6,201.7,211.6,296.0,298.0,18.84,19.10,18.58,24.6,0.0,0.00,0.00,0.00,0.00,,
180.0867163,09:51:14,30.32,30.36,30.96,30.42,30.90,30.32,30.58,30.40,30.79,30.14,29.71,29.99,30.94,30.63,30.69,32.18,31.17,31.95,32.90,30.07,31.99,32.84,30.09,31.92,31.61,32.00,31.75,32.02,31.44,31.17,30.93,31.15,29.55,29.59,259.2,248.5,215.7,249.2,214.1,265.0,224.1,223.1,225.0,260.0,243.0,284.1,228.9,275.4,256.6,129.7,174.9,123.6,84.3,0.0,149.3,85.6,0.0,156.7,159.0,152.5,169.7,153.0,222.5,221.4,205.5,213.5,299.3,300.9,18.81,19.06,18.56,24.6,0.0,0.00,0.00,0.00,0.00,,
210.101169,09:51:44,30.86,30.90,31.41,30.94,31.36,30.84,31.09,30.94,31.27,30.73,30.39,30.71,31.40,31.17,31.17,32.47,31.60,32.24,33.06,30.05,32.25,33.02,30.07,32.21,32.00,32.29,32.09,32.33,31.78,31.58,31.41,31.60,30.20,30.26,254.4,245.4,214.0,248.5,214.3,267.7,222.3,221.0,222.2,259.0,229.6,256.1,227.5,266.3,254.0,124.3,170.3,126.2,81.6,0.0,153.5,85.3,0.0,159.4,150.3,150.6,167.2,152.0,222.8,222.5,202.4,207.8,299.5,292.9,18.79,19.04,18.53,24.6,0.0,0.00,0.00,0.00,0.00,,
240.1156218,09:52:14,31.35,31.39,31.79,31.41,31.77,31.31,31.54,31.42,31.70,31.21,30.97,31.29,31.79,31.59,31.61,32.72,32.01,32.51,33.23,30.03,32.49,33.17,30.05,32.48,32.33,32.59,32.41,32.61,32.11,31.98,31.83,31.99,30.85,30.88,249.0,240.0,212.3,242.9,208.9,265.5,217.3,215.1,213.9,254.8,216.9,234.9,223.8,265.4,249.5,120.6,163.7,126.7,81.6,0.0,151.6,82.1,0.0,157.6,146.5,146.5,158.8,146.2,221.4,215.4,194.0,198.3,291.9,286.3,18.77,19.02,18.51,25.0,0.0,0.00,0.00,0.00,0.00,,
270.1300745,09:52:44,31.80,31.82,32.13,31.83,32.12,31.77,31.94,31.83,32.08,31.67,31.46,31.75,32.14,31.97,32.01,32.96,32.33,32.73,33.34,30.01,32.76,33.31,30.05,32.73,32.65,32.82,32.69,32.85,32.43,32.33,32.18,32.35,31.36,31.36,240.1,234.3,208.2,234.5,205.3,256.6,211.9,210.1,207.8,247.5,202.5,217.5,217.0,254.3,242.7,112.3,158.4,121.7,81.1,0.0,149.0,78.5,0.0,153.6,138.0,140.2,151.5,140.4,212.5,205.2,186.7,187.3,276.7,276.2,18.74,19.00,18.48,25.1,0.0,0.00,0.00,0.00,0.00,,
