Wig,Radiation,Windspeed,HeatLoss,SkinTemp,Insulation,Clo,Trial
HighCurv,Off,0.3,112.9,38,0.326,2.1,3
HighCurv,Off,1,88.9,34,0.281,1.81,3
HighCurv,Off,2.5,163.4,34,0.155,1,3
HighCurv,On,0.3,93.4,38,0.389,2.51,3
HighCurv,On,1,73.3,34,0.338,2.18,3
HighCurv,On,2.5,153,34,0.165,1.06,3
LowCurv,Off,0.3,87.1,38,0.422,2.73,3
LowCurv,Off,1,93,34,0.269,1.73,3
LowCurv,Off,2.5,144.4,34,0.176,1.13,3
LowCurv,On,0.3,26.8,38,1.366,8.81,3
LowCurv,On,1,26.2,34,0.936,6.04,3
LowCurv,On,2.5,102.2,34,0.245,1.58,3
MidCurv,Off,0.3,84.9,38,0.434,2.8,3
MidCurv,Off,1,85.4,34,0.295,1.9,3
MidCurv,Off,2.5,145.7,34,0.174,1.12,3
MidCurv,On,0.3,40.8,38,0.887,5.72,3
MidCurv,On,1,52.4,34,0.469,3.02,3
MidCurv,On,2.5,123.9,34,0.203,1.31,3
NoWig,Off,0.3,328.7,38,0.112,0.72,3
NoWig,Off,1,247.4,34,0.101,0.65,3
NoWig,Off,2.5,431.6,34,0.058,0.38,3
NoWig,On,0.3,152.6,38,0.234,1.51,3
NoWig,On,1,76.3,34,0.318,2.05,3
NoWig,On,2.5,273.2,34,0.091,0.59,3
