[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,21:52:20
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\overnight run.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0208539,21:52:50,29.17,32.68,30.84,29.57,30.56,29.96,29.98,29.37,30.26,29.06,26.61,29.57,31.71,31.52,31.10,32.22,30.02,30.51,31.92,22.87,29.67,32.21,24.35,30.05,30.29,30.96,30.59,30.90,31.03,30.47,29.66,30.24,28.99,28.77,43.7,10.1,26.0,32.5,29.2,30.9,29.3,31.9,32.5,38.3,65.7,47.6,20.3,21.7,23.7,13.7,31.5,20.4,18.0,0.0,34.6,13.2,0.0,27.5,30.8,21.7,27.5,25.3,26.8,30.7,31.9,32.4,36.6,38.8,9.02,9.02,9.04,46.4,0.0,0.00,0.00,0.00,0.00,,
60.0247069,21:53:20,29.10,32.63,30.76,29.58,30.54,29.92,29.96,29.36,30.26,29.09,26.87,29.23,31.64,31.39,30.98,32.14,30.06,30.41,31.95,22.87,29.60,32.20,24.37,29.96,30.26,30.82,30.49,30.81,30.95,30.45,29.62,30.17,28.94,28.75,159.4,38.3,98.2,118.6,103.2,110.6,114.0,122.7,113.0,130.1,220.1,210.2,86.0,86.0,90.1,59.2,121.7,81.5,64.4,0.0,124.4,53.9,0.0,106.6,117.6,94.6,107.2,96.2,102.2,113.0,128.4,123.9,141.7,144.4,9.08,9.07,9.10,49.2,0.0,0.00,0.00,0.00,0.00,,
90.0421598,21:53:50,29.34,32.66,30.89,29.84,30.71,30.10,30.16,29.61,30.47,29.35,27.56,29.41,31.71,31.41,31.04,32.20,30.35,30.51,32.02,22.93,29.77,32.28,24.38,30.09,30.44,30.93,30.63,30.88,31.04,30.58,29.83,30.32,29.20,29.02,239.5,61.2,146.9,176.3,153.8,167.5,170.5,183.5,164.5,195.9,290.9,310.9,136.6,136.7,140.5,92.4,174.6,127.0,96.8,0.0,198.2,81.8,0.0,166.7,175.5,148.1,162.1,150.8,161.0,168.0,198.7,180.8,215.7,212.8,9.13,9.13,9.16,50.6,0.0,0.00,0.00,0.00,0.00,,
120.0606127,21:54:20,29.72,32.74,31.11,30.18,30.98,30.39,30.48,29.97,30.78,29.71,28.33,29.90,31.86,31.55,31.19,32.34,30.72,30.69,32.15,22.97,30.01,32.41,24.38,30.33,30.75,31.12,30.87,31.08,31.17,30.80,30.16,30.59,29.61,29.47,291.2,76.5,181.5,214.2,189.0,206.5,204.6,224.8,198.0,237.4,327.0,346.5,172.7,170.4,174.0,112.6,203.0,162.8,117.2,0.0,249.6,101.2,0.0,208.9,208.0,182.7,197.2,186.1,202.0,208.2,243.2,221.4,256.2,255.0,9.19,9.18,9.22,52.0,0.0,0.00,0.00,0.00,0.00,,
150.0655264,21:54:50,30.18,32.84,31.37,30.60,31.28,30.71,30.85,30.40,31.11,30.15,29.05,30.47,32.05,31.73,31.44,32.50,31.10,30.97,32.32,23.06,30.39,32.59,24.38,30.64,31.06,31.34,31.17,31.34,31.42,31.12,30.56,30.96,30.05,29.95,320.8,86.8,203.5,234.6,210.5,230.6,224.9,247.5,217.4,264.5,342.4,350.7,195.5,193.2,197.5,123.4,219.2,186.8,138.2,0.0,287.9,112.9,0.0,237.7,231.9,205.5,220.8,210.0,227.6,236.8,272.3,242.3,288.3,279.8,9.25,9.24,9.29,53.5,0.0,0.00,0.00,0.00,0.00,,
180.0815321,21:55:20,30.63,32.96,31.67,31.01,31.61,31.09,31.22,30.83,31.49,30.64,29.74,31.06,32.27,31.97,31.71,32.67,31.49,31.28,32.48,23.06,30.71,32.75,24.40,30.98,31.49,31.65,31.52,31.63,31.65,31.50,30.98,31.32,30.54,30.48,333.6,93.8,215.7,244.9,223.2,246.0,237.3,264.8,226.0,274.0,352.3,338.9,207.8,209.3,210.8,130.5,226.5,199.9,149.2,0.0,315.5,117.3,0.0,256.4,237.5,219.1,229.2,224.5,255.8,242.1,282.7,250.7,298.5,290.9,9.32,9.29,9.35,52.4,0.0,0.00,0.00,0.00,0.00,,
210.0960462,21:55:50,31.09,33.08,31.96,31.42,31.92,31.47,31.59,31.24,31.82,31.09,30.37,31.57,32.48,32.23,31.99,32.84,31.85,31.59,32.70,23.17,31.15,32.91,24.42,31.33,31.81,31.95,31.84,31.93,31.94,31.78,31.40,31.69,31.01,30.93,343.4,96.3,223.7,249.3,227.6,253.4,241.7,267.3,230.3,275.3,344.6,321.7,214.5,212.2,218.1,136.1,227.9,209.8,154.3,0.0,326.8,120.4,0.0,267.7,244.3,221.3,234.8,230.0,263.5,244.4,298.3,254.1,306.3,294.9,9.37,9.34,9.41,53.9,0.0,0.00,0.00,0.00,0.00,,
240.1110551,21:56:20,31.54,33.21,32.25,31.79,32.22,31.82,31.93,31.64,32.14,31.50,30.93,31.98,32.72,32.47,32.27,33.03,32.19,31.91,32.89,23.21,31.52,33.06,24.47,31.69,32.11,32.23,32.17,32.22,32.20,32.04,31.76,32.03,31.41,31.38,338.6,97.8,224.5,248.7,228.3,254.5,241.9,267.5,230.3,276.0,338.6,311.4,212.4,215.0,218.1,133.2,226.7,212.3,149.4,0.0,332.7,119.0,0.0,274.3,244.9,229.0,231.9,230.4,269.0,250.0,299.6,252.4,301.5,294.7,9.43,9.40,9.48,54.7,0.0,0.00,0.00,0.00,0.00,,
270.1250632,21:56:50,31.93,33.34,32.51,32.14,32.50,32.14,32.26,32.01,32.44,31.89,31.44,32.31,32.92,32.70,32.54,33.18,32.48,32.22,33.04,23.27,31.90,33.21,24.49,32.02,32.37,32.49,32.46,32.50,32.43,32.41,32.12,32.34,31.82,31.79,332.5,96.8,223.4,245.0,226.4,255.5,238.1,264.7,229.2,272.8,329.5,302.3,210.2,215.4,215.9,131.2,220.1,212.8,150.4,0.0,335.3,118.7,0.0,273.5,242.8,224.5,231.2,229.4,270.8,246.4,301.3,249.4,294.6,292.1,9.49,9.45,9.54,55.4,0.0,0.00,0.00,0.00,0.00,,
300.1390794,21:57:20,32.26,33.46,32.75,32.43,32.73,32.43,32.55,32.34,32.70,32.24,31.85,32.61,33.11,32.90,32.79,33.33,32.74,32.51,33.18,23.35,32.19,33.34,24.52,32.33,32.68,32.77,32.73,32.75,32.68,32.66,32.43,32.62,32.25,32.15,325.2,95.1,218.4,240.4,222.1,251.9,231.8,260.9,224.1,266.1,321.5,293.2,205.5,212.4,212.6,129.4,214.1,209.3,151.9,0.0,333.7,115.5,0.0,273.0,235.5,222.2,225.4,224.5,269.1,245.2,296.7,241.9,293.9,284.5,9.54,9.51,9.60,55.7,0.0,0.00,0.00,0.00,0.00,,
330.1550802,21:57:50,32.55,33.54,32.97,32.70,32.95,32.70,32.79,32.62,32.92,32.54,32.20,32.86,33.27,33.10,33.00,33.46,32.96,32.78,33.32,23.43,32.50,33.46,24.56,32.61,32.92,32.95,32.95,32.98,32.91,32.92,32.70,32.87,32.51,32.47,318.9,92.6,215.1,236.7,219.3,249.4,227.7,254.8,220.8,260.7,313.9,284.7,199.1,209.8,207.6,123.1,209.0,205.5,146.6,0.0,327.0,112.0,0.0,270.7,232.3,215.5,217.9,217.2,262.0,232.7,289.9,235.5,284.7,278.5,9.60,9.56,9.66,55.6,0.0,0.00,0.00,0.00,0.00,,
360.1696016,21:58:20,32.83,33.64,33.15,32.93,33.12,32.91,33.01,32.85,33.11,32.77,32.50,33.06,33.41,33.27,33.19,33.57,33.15,33.01,33.43,23.47,32.79,33.56,24.61,32.86,33.11,33.17,33.16,33.17,33.11,33.11,32.92,33.07,32.77,32.74,310.2,89.5,209.3,228.6,216.4,243.7,222.1,248.2,216.1,256.4,302.0,276.6,191.5,202.4,201.8,120.9,200.9,200.3,140.6,0.0,314.5,108.1,0.0,265.2,225.6,210.6,211.1,210.9,258.0,224.2,284.6,227.4,279.6,272.3,9.66,9.61,9.71,55.4,0.0,0.00,0.00,0.00,0.00,,
390.1831077,21:58:50,33.04,33.72,33.30,33.13,33.29,33.11,33.18,33.04,33.26,33.00,32.74,33.23,33.53,33.42,33.35,33.66,33.30,33.21,33.57,23.55,32.99,33.64,24.65,33.07,33.29,33.34,33.33,33.35,33.24,33.32,33.12,33.27,33.04,32.96,298.4,86.0,204.5,222.3,209.3,237.4,217.8,243.1,212.7,250.5,295.8,269.9,186.3,197.7,196.0,116.3,194.4,194.8,133.3,0.0,313.4,105.7,0.0,259.0,219.8,197.0,203.5,203.6,252.2,222.5,277.3,218.4,271.3,265.0,9.71,9.67,9.77,55.6,0.0,0.00,0.00,0.00,0.00,,
420.1981221,21:59:20,33.23,33.79,33.45,33.28,33.44,33.29,33.33,33.22,33.41,33.20,32.97,33.37,33.63,33.55,33.49,33.74,33.43,33.38,33.65,23.62,33.21,33.72,24.69,33.26,33.47,33.48,33.46,33.49,33.40,33.40,33.29,33.41,33.18,33.17,296.8,82.6,199.1,216.6,202.5,231.0,212.3,234.4,206.1,242.1,286.5,266.4,179.0,192.6,189.5,112.3,189.0,188.6,136.6,0.0,305.5,102.1,0.0,252.7,209.8,192.7,195.4,196.4,246.3,218.3,269.7,211.5,266.8,256.4,9.77,9.72,9.82,55.2,0.0,0.00,0.00,0.00,0.00,,
450.2116358,21:59:50,33.38,33.84,33.56,33.42,33.55,33.44,33.47,33.38,33.52,33.37,33.13,33.47,33.73,33.65,33.62,33.80,33.55,33.54,33.74,23.70,33.37,33.77,24.74,33.42,33.61,33.63,33.58,33.61,33.56,33.54,33.45,33.53,33.36,33.35,286.5,79.4,193.3,210.9,197.9,223.4,206.4,229.5,201.5,234.5,282.2,264.4,169.4,186.8,183.0,109.1,183.2,181.0,130.4,0.0,297.1,99.0,0.0,245.3,199.8,192.1,188.9,190.2,236.4,211.4,262.4,207.6,257.6,249.0,9.82,9.78,9.88,55.5,0.0,0.00,0.00,0.00,0.00,,
480.2271416,22:00:20,33.53,33.89,33.66,33.54,33.65,33.55,33.59,33.52,33.63,33.50,33.29,33.58,33.82,33.74,33.72,33.86,33.65,33.64,33.84,23.77,33.51,33.84,24.78,33.56,33.73,33.72,33.71,33.71,33.67,33.66,33.58,33.61,33.50,33.48,279.5,75.7,188.2,205.2,191.6,219.9,200.8,221.6,195.5,227.9,275.6,260.1,162.8,181.3,176.3,103.9,178.5,175.9,125.1,0.0,290.1,94.9,0.0,238.1,191.0,181.5,182.0,183.9,230.9,205.3,254.2,204.7,247.8,244.6,9.87,9.82,9.93,55.6,0.0,0.00,0.00,0.00,0.00,,
510.242647,22:00:50,33.64,33.93,33.74,33.64,33.72,33.65,33.67,33.61,33.72,33.62,33.41,33.68,33.86,33.81,33.81,33.90,33.74,33.76,33.86,23.89,33.63,33.89,24.84,33.67,33.76,33.79,33.81,33.81,33.76,33.73,33.68,33.75,33.65,33.62,271.3,73.1,184.1,201.3,187.5,216.4,197.2,216.9,192.6,221.8,270.0,253.4,159.0,175.7,170.9,101.6,172.4,170.3,124.1,0.0,278.5,91.7,0.0,234.3,194.6,177.6,174.6,176.7,223.3,202.4,248.0,193.8,245.3,236.9,9.92,9.87,9.99,54.9,0.0,0.00,0.00,0.00,0.00,,
540.2551597,22:01:20,33.72,33.96,33.81,33.73,33.80,33.74,33.74,33.68,33.80,33.72,33.51,33.75,33.91,33.87,33.88,33.93,33.80,33.83,33.90,23.94,33.76,33.92,24.89,33.77,33.84,33.88,33.86,33.88,33.81,33.82,33.76,33.81,33.74,33.70,266.5,70.7,179.5,194.6,184.1,210.3,194.4,215.6,186.7,216.7,266.9,250.0,153.6,171.7,164.4,97.0,168.6,164.9,119.6,0.0,267.8,87.2,0.0,229.9,185.8,167.2,169.6,169.8,217.6,194.5,242.8,188.0,238.9,231.8,9.97,9.91,10.04,54.7,0.0,0.00,0.00,0.00,0.00,,
570.2711702,22:01:50,33.82,33.99,33.86,33.80,33.87,33.82,33.81,33.76,33.84,33.79,33.60,33.79,33.95,33.92,33.94,33.97,33.84,33.93,33.94,24.01,33.84,33.94,24.94,33.85,33.85,33.91,33.92,33.94,33.89,33.89,33.83,33.85,33.82,33.78,260.5,68.0,174.7,189.5,178.0,204.8,190.5,212.1,184.7,213.4,263.7,249.7,148.4,166.8,160.1,94.0,162.6,158.1,112.5,0.0,266.3,85.7,0.0,222.1,180.9,160.2,164.9,164.8,217.3,184.9,236.2,186.5,230.8,229.0,10.02,9.96,10.09,54.6,0.0,0.00,0.00,0.00,0.00,,
600.2851719,22:02:20,33.86,34.00,33.91,33.87,33.91,33.89,33.87,33.82,33.88,33.84,33.65,33.82,33.99,33.95,33.98,33.99,33.89,33.98,33.99,24.09,33.90,33.97,25.01,33.91,33.90,33.98,33.96,33.99,33.94,33.94,33.90,33.85,33.86,33.84,254.3,66.2,171.9,185.9,175.1,199.4,187.4,208.1,180.4,208.2,265.2,248.2,143.9,164.6,154.6,92.1,160.9,155.5,113.6,0.0,257.6,82.8,0.0,218.7,183.6,157.9,160.5,160.3,203.7,181.6,229.5,190.7,232.2,225.6,10.07,10.01,10.14,54.3,0.0,0.00,0.00,0.00,0.00,,
630.3006787,22:02:50,33.89,34.02,33.95,33.90,33.94,33.93,33.90,33.88,33.92,33.90,33.71,33.86,34.01,33.99,34.02,34.01,33.92,33.99,34.00,24.17,33.93,33.99,25.07,33.96,33.99,34.00,33.99,34.01,33.96,33.96,33.93,33.91,33.87,33.90,253.2,64.7,167.9,182.2,171.4,196.4,183.9,205.6,178.1,204.6,263.0,246.5,138.5,160.4,151.0,93.0,156.3,152.1,107.7,0.0,248.8,81.1,0.0,216.6,172.5,152.2,156.8,155.8,200.0,183.0,225.3,186.5,228.5,220.6,10.11,10.05,10.19,53.7,0.0,0.00,0.00,0.00,0.00,,
660.3136761,22:03:20,33.92,34.03,33.97,33.94,33.97,33.96,33.93,33.91,33.95,33.94,33.77,33.91,34.03,34.02,34.04,34.01,33.95,34.03,34.01,24.25,33.99,34.01,25.11,34.00,33.99,34.07,34.01,34.03,34.01,33.98,33.97,33.96,33.93,33.94,251.4,63.1,164.3,180.0,169.1,193.0,180.1,203.4,175.6,201.2,259.9,242.1,135.2,159.0,148.8,89.9,154.5,149.5,104.8,0.0,246.4,77.7,0.0,213.3,166.6,147.9,153.6,152.9,200.2,177.3,222.2,180.4,220.3,217.3,10.16,10.10,10.24,53.3,0.0,0.00,0.00,0.00,0.00,,
