[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,10:32:33
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\warmup2.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0190137,10:33:03,38.98,39.02,38.98,38.97,38.98,38.99,38.98,38.99,39.00,38.97,38.93,38.96,38.99,39.00,38.99,38.99,38.97,39.00,38.96,36.90,38.99,38.96,36.91,39.00,38.98,38.97,38.97,38.98,38.97,38.98,38.95,38.99,38.94,38.97,273.2,2.7,189.3,186.0,192.5,185.2,190.5,227.2,187.0,244.2,309.3,338.7,149.8,124.0,209.1,86.4,163.4,101.8,57.8,42.2,179.7,39.5,37.2,183.2,189.9,165.3,180.8,186.9,257.7,206.2,248.9,217.5,252.4,250.8,10.40,9.83,10.97,40.1,0.0,0.00,0.00,0.00,0.00,,
60.0355097,10:33:33,38.68,38.97,38.73,38.71,38.70,38.70,38.70,38.73,38.73,38.66,38.48,38.75,38.72,38.79,38.76,38.74,38.68,38.79,38.75,36.49,38.70,38.73,36.52,38.77,38.74,38.75,38.75,38.76,38.75,38.73,38.69,38.77,38.70,38.70,210.0,0.0,118.3,120.5,126.3,122.1,125.0,165.6,113.7,182.5,256.7,249.0,70.5,49.6,135.8,17.5,90.6,43.8,2.2,0.0,108.5,0.0,0.0,110.4,116.5,89.4,105.0,117.7,189.2,126.7,191.1,142.7,197.7,180.0,10.36,9.80,10.89,40.2,0.0,0.00,0.00,0.00,0.00,,
90.0500048,10:34:03,38.17,38.91,38.26,38.24,38.23,38.25,38.22,38.25,38.21,38.17,37.86,38.16,38.25,38.36,38.35,38.34,38.16,38.41,38.46,36.17,38.29,38.48,36.18,38.37,38.29,38.28,38.33,38.36,38.34,38.32,38.13,38.35,38.20,38.22,177.7,0.0,78.5,84.4,85.0,84.0,89.2,130.5,80.3,151.7,254.7,221.3,29.6,5.7,89.4,0.0,55.8,4.9,0.0,0.0,66.5,0.0,0.0,63.9,75.4,49.9,58.7,69.1,144.0,81.0,165.0,92.6,158.7,144.7,10.20,9.67,10.66,41.0,0.0,0.00,0.00,0.00,0.00,,
120.0630055,10:34:33,37.59,38.82,37.75,37.71,37.72,37.74,37.70,37.73,37.67,37.67,37.28,37.45,37.72,37.89,37.80,37.93,37.61,37.95,38.21,35.84,37.80,38.24,35.86,37.89,37.73,37.78,37.81,37.88,37.81,37.82,37.56,37.84,37.61,37.57,172.6,0.0,60.6,69.4,72.1,67.1,77.7,118.3,68.3,137.3,267.3,246.9,13.6,0.0,75.0,0.0,47.5,0.0,0.0,0.0,41.5,0.0,0.0,38.6,60.5,30.4,41.3,42.3,131.2,59.6,164.5,67.6,152.2,146.3,9.87,9.40,10.26,43.4,0.0,0.00,0.00,0.00,0.00,,
150.0780072,10:35:03,37.14,38.75,37.28,37.22,37.20,37.24,37.20,37.24,37.19,37.19,36.82,36.92,37.25,37.45,37.33,37.54,37.10,37.53,37.99,35.54,37.33,38.02,35.58,37.41,37.22,37.30,37.31,37.36,37.36,37.32,37.08,37.33,37.11,37.06,161.0,0.0,50.6,63.9,61.2,59.4,68.3,109.7,60.2,128.6,259.5,256.2,4.0,0.0,61.8,0.0,45.4,0.1,0.3,0.0,33.1,0.0,0.0,25.6,57.6,26.4,32.3,34.7,116.1,52.0,159.8,61.4,154.2,146.8,9.54,9.13,9.86,45.1,0.0,0.00,0.00,0.00,0.00,,
180.0930026,10:35:33,36.66,38.67,36.79,36.74,36.73,36.77,36.71,36.73,36.70,36.73,36.33,36.44,36.76,37.02,36.84,37.16,36.59,37.10,37.77,35.24,36.83,37.79,35.28,36.94,36.73,36.78,36.81,36.86,36.84,36.80,36.58,36.83,36.60,36.56,163.5,0.0,49.0,65.4,64.3,61.4,73.4,114.9,63.5,127.7,275.9,271.7,5.9,0.0,63.1,0.0,54.7,0.1,1.3,0.0,29.2,0.0,0.0,22.6,57.3,29.9,37.0,35.7,114.4,51.4,167.3,63.1,165.4,157.8,9.19,8.86,9.45,46.4,0.0,0.00,0.00,0.00,0.00,,
210.1069998,10:36:03,36.25,38.59,36.35,36.31,36.31,36.34,36.29,36.32,36.26,36.30,35.98,36.01,36.33,36.59,36.39,36.79,36.18,36.70,37.55,34.96,36.42,37.60,34.99,36.48,36.29,36.34,36.35,36.41,36.38,36.32,36.15,36.36,36.17,36.14,167.2,0.0,55.4,70.8,72.1,65.6,77.0,117.8,71.1,133.3,279.9,285.5,11.8,0.1,66.8,0.1,63.2,1.5,1.3,0.0,38.9,0.0,0.0,26.6,66.4,30.6,46.0,41.1,123.0,56.7,175.6,75.3,175.0,164.3,8.86,8.58,9.05,47.4,0.0,0.00,0.00,0.00,0.00,,
240.1210009,10:36:33,35.84,38.51,35.97,35.93,35.92,35.95,35.89,35.91,35.89,35.93,35.63,35.67,35.92,36.20,35.97,36.43,35.80,36.27,37.35,34.66,36.00,37.38,34.72,36.07,35.88,35.91,35.92,35.97,35.99,35.93,35.75,35.96,35.74,35.74,178.9,0.0,64.0,79.6,76.4,74.4,88.4,127.3,78.9,140.2,294.8,297.4,23.9,3.5,78.0,0.7,75.6,3.8,0.5,0.0,42.5,0.0,0.0,34.2,79.3,48.8,57.3,56.8,123.9,72.6,190.0,84.7,190.5,179.4,8.51,8.29,8.65,48.4,0.0,0.00,0.00,0.00,0.00,,
270.1354968,10:37:03,35.49,38.41,35.61,35.59,35.57,35.58,35.54,35.56,35.55,35.57,35.31,35.34,35.56,35.82,35.59,36.05,35.47,35.89,37.15,34.36,35.63,37.14,34.43,35.70,35.53,35.55,35.54,35.61,35.60,35.55,35.42,35.59,35.42,35.39,196.7,0.0,75.3,90.8,89.8,86.2,102.2,140.5,91.0,151.1,314.5,309.8,40.2,14.8,95.4,3.0,90.5,11.0,0.3,0.0,54.1,0.0,0.0,46.3,94.6,63.4,75.9,69.9,143.6,95.9,206.2,102.0,197.9,195.5,8.15,7.97,8.23,49.5,0.0,0.00,0.00,0.00,0.00,,
