[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,08:49:43
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\x.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0195449,08:50:13,28.93,33.09,31.38,31.43,31.15,31.48,31.10,30.53,31.36,30.08,26.91,28.04,31.84,31.80,31.27,32.24,31.24,31.73,32.31,21.86,31.53,32.70,23.72,31.70,31.05,31.36,31.46,31.33,31.25,31.79,30.58,31.58,30.81,30.76,519.2,184.0,559.1,493.8,565.2,476.1,380.0,433.5,475.4,494.9,586.3,551.7,342.7,336.8,417.9,242.3,357.0,247.8,302.5,0.0,430.8,235.6,0.0,392.1,461.6,422.4,337.7,410.1,366.8,338.8,347.3,437.1,340.5,474.8,8.93,9.00,8.86,42.6,0.0,0.00,0.00,0.00,0.00,,
60.0315479,08:50:43,29.81,33.51,32.60,32.78,32.51,32.65,32.38,31.66,32.72,31.22,28.51,27.91,32.86,32.64,32.15,33.00,32.86,32.57,33.15,21.79,32.66,33.43,23.67,32.70,32.39,32.38,32.54,32.32,32.40,32.77,31.78,32.61,31.92,31.92,678.4,195.4,581.6,550.8,579.8,544.9,567.9,552.9,580.7,592.2,721.8,894.1,521.0,564.4,592.8,393.1,546.8,438.3,371.1,0.0,523.4,266.8,0.0,525.8,585.3,589.8,607.7,614.2,640.0,546.0,611.1,573.4,607.5,596.7,8.94,9.00,8.86,42.6,0.0,0.00,0.00,0.00,0.00,,
90.0450508,08:51:13,30.39,33.73,33.23,33.39,33.12,33.24,33.03,32.30,33.43,31.82,29.34,28.57,33.40,33.25,32.73,33.52,33.53,33.13,33.53,21.76,33.16,33.71,23.65,33.27,33.10,33.04,33.21,32.97,32.97,33.38,32.43,33.31,32.59,32.61,693.9,179.3,517.0,483.8,524.5,491.3,509.3,518.8,497.2,570.9,717.6,918.5,462.4,514.2,548.8,338.8,466.6,409.0,334.5,0.0,488.1,236.5,0.0,479.6,521.4,537.3,542.6,555.2,583.4,480.9,563.5,500.4,554.1,537.2,8.93,8.99,8.87,42.6,0.0,0.00,0.00,0.00,0.00,,
120.0610553,08:51:43,30.91,33.88,33.61,33.74,33.46,33.62,33.43,32.74,33.79,32.25,30.03,29.22,33.74,33.65,33.15,33.84,33.91,33.52,33.77,21.72,33.54,33.88,23.63,33.63,33.50,33.43,33.65,33.39,33.31,33.74,32.86,33.76,33.04,33.08,697.5,167.6,478.3,448.3,490.7,453.3,471.3,497.0,453.5,554.2,730.7,922.3,427.0,470.4,521.2,303.9,410.1,385.2,314.8,0.0,460.8,217.5,0.0,445.9,472.7,505.0,496.0,512.5,558.4,439.4,534.3,451.4,521.2,506.9,8.94,8.98,8.88,42.7,0.0,0.00,0.00,0.00,0.00,,
150.0745543,08:52:13,31.36,33.98,33.87,33.98,33.72,33.88,33.68,33.07,34.03,32.59,30.61,29.87,33.98,33.93,33.48,34.03,34.13,33.81,33.94,21.70,33.83,33.98,23.61,33.88,33.77,33.76,33.95,33.73,33.56,34.00,33.18,34.03,33.39,33.40,709.1,157.3,455.9,419.9,469.4,427.8,445.5,484.4,420.3,544.3,741.5,926.7,398.4,440.3,498.2,282.3,380.3,366.8,294.8,0.0,437.8,205.0,0.0,421.5,445.8,466.6,457.7,485.3,539.7,410.5,516.7,413.4,496.9,479.7,8.95,8.99,8.90,42.7,0.0,0.00,0.00,0.00,0.00,,
180.0900499,08:52:43,31.76,34.06,34.05,34.12,33.90,34.04,33.88,33.32,34.15,32.88,31.14,30.44,34.15,34.14,33.72,34.15,34.24,34.02,34.06,21.67,34.00,34.08,23.62,34.06,34.00,33.98,34.16,33.96,33.73,34.16,33.43,34.20,33.60,33.63,707.2,147.0,432.1,397.4,450.4,407.4,426.3,473.9,399.3,533.6,745.2,934.1,373.4,414.0,479.5,264.2,359.2,351.2,284.6,0.0,420.1,191.2,0.0,401.7,423.0,446.5,427.8,461.3,521.8,387.2,500.0,385.4,481.3,457.3,8.95,8.99,8.91,42.7,0.0,0.00,0.00,0.00,0.00,,
210.1045447,08:53:13,32.10,34.10,34.16,34.20,34.01,34.15,34.00,33.50,34.24,33.10,31.55,30.94,34.25,34.29,33.91,34.24,34.30,34.17,34.14,21.66,34.14,34.10,23.64,34.19,34.13,34.13,34.30,34.12,33.87,34.27,33.62,34.29,33.76,33.80,702.9,140.2,416.6,383.0,440.7,392.0,411.3,465.9,390.3,526.9,746.7,934.6,352.6,392.6,459.7,247.2,342.3,337.1,272.9,0.0,406.4,184.3,0.0,385.3,401.3,427.5,405.2,440.6,506.2,368.4,484.0,368.8,465.1,445.2,8.97,9.01,8.93,42.7,0.0,0.00,0.00,0.00,0.00,,
240.1185451,08:53:43,32.40,34.13,34.23,34.25,34.09,34.21,34.08,33.63,34.28,33.29,31.91,31.37,34.31,34.34,34.02,34.28,34.32,34.27,34.23,21.65,34.22,34.13,23.63,34.27,34.16,34.20,34.37,34.23,33.98,34.32,33.74,34.36,33.87,33.91,701.4,133.6,405.4,370.1,431.6,378.7,398.4,460.4,379.5,518.2,745.0,930.5,337.9,375.7,444.8,238.7,330.6,323.7,258.6,0.0,392.4,177.4,0.0,369.9,391.0,408.8,388.6,420.9,495.3,354.6,472.7,356.7,453.2,439.3,8.98,9.03,8.94,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1320535,08:54:13,32.68,34.14,34.26,34.27,34.15,34.24,34.12,33.72,34.30,33.44,32.21,31.80,34.34,34.39,34.12,34.29,34.31,34.34,34.22,21.68,34.28,34.14,23.63,34.31,34.22,34.26,34.38,34.28,34.09,34.35,33.83,34.35,33.97,33.98,696.3,128.5,395.5,362.0,425.0,369.1,389.8,455.5,369.4,512.8,743.9,920.8,328.4,361.3,430.9,232.3,323.9,311.8,248.5,0.0,388.5,173.7,0.0,358.0,384.9,395.4,376.0,408.5,476.5,345.1,464.8,347.9,447.4,429.2,9.00,9.05,8.94,42.6,0.0,0.00,0.00,0.00,0.00,,
