[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,18:30:31
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\overnight.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0173235,18:31:01,36.03,34.42,35.01,34.74,34.99,34.81,34.93,35.07,34.84,35.17,35.65,36.93,34.89,35.15,35.22,34.62,34.68,34.67,34.59,21.61,34.67,34.37,24.20,34.63,34.92,35.06,34.90,35.12,35.04,34.71,34.99,34.73,34.79,34.78,284.3,78.5,204.1,211.9,206.0,209.2,211.8,242.2,198.2,273.7,305.8,217.8,154.6,152.0,197.1,92.1,183.4,203.9,121.6,0.0,268.3,79.4,0.0,253.3,202.6,203.8,214.7,204.2,240.5,186.5,251.9,191.7,273.6,281.4,8.59,8.75,8.42,42.4,0.0,0.00,0.00,0.00,0.00,,
60.0305418,18:31:31,35.89,34.42,34.97,34.72,34.94,34.77,34.90,35.04,34.81,35.14,35.48,36.40,34.84,35.05,35.17,34.59,34.66,34.73,34.59,21.75,34.68,34.35,24.30,34.67,34.89,35.06,34.84,35.11,35.02,34.68,34.94,34.65,34.79,34.78,259.2,68.2,184.0,201.2,189.4,197.9,194.6,223.7,184.6,249.5,296.7,232.0,137.5,138.2,179.2,80.2,169.4,184.3,116.8,0.0,247.2,75.2,0.0,232.5,184.6,177.3,200.0,178.2,220.3,184.8,233.5,182.2,258.9,264.8,8.56,8.73,8.39,42.4,0.0,0.00,0.00,0.00,0.00,,
90.0788054,18:32:01,35.73,34.40,34.91,34.67,34.89,34.72,34.84,35.00,34.74,35.10,35.39,35.98,34.80,34.95,35.08,34.53,34.62,34.75,34.56,21.93,34.68,34.33,24.38,34.66,34.83,35.04,34.85,35.05,34.99,34.62,34.86,34.62,34.74,34.72,244.0,61.3,171.0,190.6,177.0,193.4,183.4,209.0,174.5,233.0,278.9,253.8,125.9,131.2,165.9,74.9,160.1,171.8,106.0,0.0,235.4,72.4,0.0,219.1,176.3,164.4,184.1,164.0,207.0,176.2,224.6,178.2,246.0,254.1,8.53,8.67,8.37,42.4,0.0,0.00,0.00,0.00,0.00,,
120.0920572,18:32:31,35.53,34.38,34.83,34.61,34.80,34.65,34.76,34.92,34.67,35.02,35.22,35.64,34.73,34.83,34.97,34.48,34.56,34.74,34.52,22.08,34.64,34.30,24.46,34.63,34.74,34.95,34.78,34.96,34.86,34.53,34.82,34.54,34.70,34.68,230.4,55.7,162.4,186.2,170.5,187.7,175.4,199.6,166.3,221.5,269.4,265.2,117.3,128.3,157.2,72.1,153.3,161.3,106.7,0.0,224.4,67.6,0.0,207.9,165.4,150.5,176.4,152.6,195.0,173.7,213.2,176.1,236.1,247.1,8.50,8.63,8.37,42.5,0.0,0.00,0.00,0.00,0.00,,
150.1052923,18:33:01,35.34,34.34,34.74,34.54,34.71,34.60,34.68,34.81,34.60,34.92,35.02,35.37,34.65,34.69,34.86,34.42,34.49,34.70,34.44,22.23,34.60,34.26,24.52,34.58,34.66,34.86,34.69,34.87,34.79,34.50,34.73,34.47,34.65,34.64,225.5,52.2,158.5,182.3,164.0,181.0,170.0,195.4,161.6,213.6,273.3,270.4,113.7,128.1,154.3,69.5,149.5,152.5,97.7,0.0,222.1,67.9,0.0,200.4,165.8,141.1,169.4,146.9,188.9,168.4,206.7,176.6,231.5,237.0,8.47,8.59,8.35,42.5,0.0,0.00,0.00,0.00,0.00,,
180.1200622,18:33:31,35.16,34.31,34.65,34.48,34.62,34.54,34.59,34.73,34.52,34.85,34.91,35.19,34.55,34.59,34.74,34.37,34.45,34.66,34.40,22.35,34.54,34.23,24.62,34.54,34.59,34.76,34.63,34.75,34.69,34.40,34.68,34.41,34.60,34.55,224.9,51.8,155.1,179.9,161.0,177.8,168.8,191.5,159.0,207.1,269.9,276.8,113.5,127.0,152.5,69.9,147.3,144.8,91.0,0.0,213.4,65.9,0.0,196.1,164.1,142.8,164.2,142.6,182.9,171.8,204.1,175.0,224.3,234.9,8.46,8.56,8.36,42.3,0.0,0.00,0.00,0.00,0.00,,
210.1358117,18:34:01,34.99,34.26,34.57,34.42,34.54,34.47,34.52,34.64,34.46,34.75,34.82,35.05,34.48,34.51,34.64,34.29,34.39,34.60,34.39,22.48,34.51,34.21,24.69,34.48,34.51,34.65,34.52,34.66,34.62,34.36,34.57,34.35,34.47,34.48,222.6,51.8,154.2,178.1,160.3,175.5,167.3,186.2,156.8,201.0,260.4,264.1,112.5,131.8,151.1,70.8,144.5,143.0,86.0,0.0,216.5,64.8,0.0,192.5,160.1,141.0,167.6,142.6,178.4,176.0,199.4,173.1,214.2,231.5,8.45,8.52,8.37,42.3,0.0,0.00,0.00,0.00,0.00,,
240.1502644,18:34:31,34.86,34.23,34.47,34.36,34.47,34.39,34.44,34.56,34.41,34.66,34.72,34.90,34.40,34.40,34.54,34.26,34.34,34.53,34.32,22.63,34.43,34.18,24.74,34.42,34.41,34.57,34.47,34.56,34.54,34.32,34.48,34.30,34.42,34.42,223.2,50.2,153.4,179.4,159.0,175.8,166.6,185.5,156.6,198.5,258.3,262.5,114.0,133.6,154.3,72.2,143.5,138.7,92.3,0.0,211.0,61.9,0.0,189.4,162.0,144.7,165.6,141.7,177.6,170.9,204.0,174.6,220.8,231.5,8.45,8.51,8.40,42.4,0.0,0.00,0.00,0.00,0.00,,
270.1647171,18:35:01,34.72,34.20,34.41,34.31,34.40,34.35,34.38,34.48,34.35,34.59,34.60,34.74,34.34,34.34,34.47,34.21,34.29,34.47,34.26,22.74,34.41,34.15,24.81,34.39,34.38,34.46,34.43,34.47,34.45,34.24,34.40,34.24,34.33,34.37,223.6,50.0,153.9,179.1,158.0,174.8,167.4,185.2,157.4,195.6,258.4,269.4,115.9,135.8,154.1,72.6,143.2,136.8,86.7,0.0,210.3,62.2,0.0,186.4,163.6,136.1,165.7,141.6,186.4,175.1,206.8,177.4,223.5,230.8,8.47,8.50,8.43,42.3,0.0,0.00,0.00,0.00,0.00,,
