Logger Details:,,,,,,,,,,,
Logger Type,1F8,,,,,,,,,,
Serial Number,KS0542006,,,,,,,,,,
Controller Firmware,3,,,,,,,,,,
Acquisition Firmware,3,,,,,,,,,,
Logger ID,Logger ID,,,,,,,,,,
,,,,,,,,,,,
Job Details,,,,,,,,,,,
Number of Analogue Channels,9,,,,,,,,,,
Number of Digital Channels,0,,,,,,,,,,
Total Number of Channels Used,9,,,,,,,,,,
,,,,,,,,,,,
Arm Time,23/10/2018 19:12:31,,,,,,,,,,
Disarm Time,23/10/2018 21:46:43,,,,,,,,,,
Duration,02:34:12,,,,,,,,,,
Job Description,Job Description,,,,,,,,,,
Channel Info,,,,,,,,,,,
Description,,,Ch1 ('C),ch2 ('C),ch3 ('C),ch4 ('C),ch5 ('C),ch6 ('C),ch7 ('C),ch8 ('C),Ref. Junction 1 ('C)
Sample Interval,,,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,Not Logged
Logging Interval,,,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,00:00:30,Not Logged
,,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Type,Ch1 ('C),ch2 ('C),ch3 ('C),ch4 ('C),ch5 ('C),ch6 ('C),ch7 ('C),ch8 ('C),
23/10/2018,19:12:34,Interval,348.5,33.5,34.1,35.4,35.0,O/C,Under,O/C,
23/10/2018,19:13:04,Interval,316.1,33.5,34.1,35.4,35.1,O/C,Under,O/C,
23/10/2018,19:13:34,Interval,339.7,33.5,34.0,35.4,35.1,O/C,Under,O/C,
23/10/2018,19:14:04,Interval,336.7,33.5,34.1,35.4,35.1,O/C,Under,O/C,
23/10/2018,19:14:34,Interval,376.4,33.6,34.1,35.4,35.1,O/C,Under,O/C,
23/10/2018,19:15:04,Interval,348.5,33.6,34.1,35.4,35.2,O/C,Under,O/C,
23/10/2018,19:15:34,Interval,348.2,33.5,34.1,35.4,35.2,O/C,Under,O/C,
23/10/2018,19:16:04,Interval,350.9,33.6,34.0,35.4,35.2,O/C,Under,O/C,
23/10/2018,19:16:34,Interval,376.8,33.6,34.0,35.5,35.2,O/C,Under,O/C,
23/10/2018,19:17:04,Interval,365.3,33.6,34.1,35.4,35.2,O/C,Under,O/C,
23/10/2018,19:17:34,Interval,364.7,33.6,34.1,35.5,35.2,O/C,Under,O/C,
23/10/2018,19:18:04,Interval,347.7,33.5,34.0,35.4,35.3,O/C,Under,O/C,
23/10/2018,19:18:34,Interval,380.9,33.6,34.1,35.5,35.3,O/C,Under,O/C,
23/10/2018,19:19:04,Interval,347.4,33.6,34.1,35.4,35.2,O/C,Under,O/C,
23/10/2018,19:19:34,Interval,343.8,33.6,34.1,35.5,35.3,O/C,Under,O/C,
23/10/2018,19:20:04,Interval,334.5,33.6,34.1,35.5,35.3,O/C,Under,O/C,
23/10/2018,19:20:34,Interval,373.5,33.6,34.1,35.5,35.3,O/C,Under,O/C,
23/10/2018,19:21:04,Interval,359.3,33.6,34.1,35.5,35.3,O/C,Under,O/C,
23/10/2018,19:21:34,Interval,316.1,33.6,34.1,35.5,35.3,O/C,Under,O/C,
