Date,Time,1,2,3,4,5,Wig,Radiation,WindSpeed,Datetime,Trial
2018-10-25,12:51:16,32.5,42.8,45.4,41.4,33.3,Nude,On,0.3,2018-10-25T12:51:16Z,1
2018-10-25,12:51:46,32.3,43.2,45.6,41.4,33,Nude,On,0.3,2018-10-25T12:51:46Z,1
2018-10-25,12:52:16,32.3,43.3,45.6,41.5,32.9,Nude,On,0.3,2018-10-25T12:52:16Z,1
2018-10-25,12:52:46,32.2,43.9,46.3,41.8,33.2,Nude,On,0.3,2018-10-25T12:52:46Z,1
2018-10-25,12:53:16,32.1,44.1,46.8,41.9,32.9,Nude,On,0.3,2018-10-25T12:53:16Z,1
2018-10-25,12:53:46,32.1,44.2,47.3,42.1,33.1,Nude,On,0.3,2018-10-25T12:53:46Z,1
2018-10-25,12:54:16,32.2,44.3,47.8,42.3,32.9,Nude,On,0.3,2018-10-25T12:54:16Z,1
2018-10-25,12:54:46,31.9,44.8,47.6,42.2,32.8,Nude,On,0.3,2018-10-25T12:54:46Z,1
2018-10-25,12:55:16,32.2,44.9,48.3,42.6,32.9,Nude,On,0.3,2018-10-25T12:55:16Z,1
2018-10-25,12:55:46,31.9,45.2,48.2,42.4,32.9,Nude,On,0.3,2018-10-25T12:55:46Z,1
2018-10-25,12:56:16,32,45.4,48.4,42.9,33,Nude,On,0.3,2018-10-25T12:56:16Z,1
2018-10-25,12:56:46,32,45.2,48.6,42.8,32.7,Nude,On,0.3,2018-10-25T12:56:46Z,1
2018-10-25,12:57:16,32.4,45.5,49.1,42.9,32.8,Nude,On,0.3,2018-10-25T12:57:16Z,1
2018-10-25,12:57:46,32.1,45.9,49.2,43,32.7,Nude,On,0.3,2018-10-25T12:57:46Z,1
2018-10-25,12:58:16,32.3,46,49.7,43.1,32.6,Nude,On,0.3,2018-10-25T12:58:16Z,1
2018-10-25,12:58:46,32.1,46.5,49.7,43,32.5,Nude,On,0.3,2018-10-25T12:58:46Z,1
2018-10-25,12:59:16,32.1,46.4,50,43.2,32.5,Nude,On,0.3,2018-10-25T12:59:16Z,1
2018-10-25,12:59:46,32.3,46.1,50.4,43.3,32.4,Nude,On,0.3,2018-10-25T12:59:46Z,1
2018-10-25,13:00:16,32.2,46.4,50.5,43.1,32.4,Nude,On,0.3,2018-10-25T13:00:16Z,1
2018-10-25,13:00:46,32.2,46.9,50.3,43.2,32.2,Nude,On,0.3,2018-10-25T13:00:46Z,1
2018-10-25,13:01:16,32.1,46.9,50.5,43.2,32.4,Nude,On,0.3,2018-10-25T13:01:16Z,1
2018-10-25,13:01:46,32.4,46.8,50.6,43.2,32.3,Nude,On,0.3,2018-10-25T13:01:46Z,1
2018-10-25,13:02:16,32.1,47.1,50.6,43.2,32.1,Nude,On,0.3,2018-10-25T13:02:16Z,1
2018-10-25,13:02:46,32.2,47.4,50.7,43.1,32.2,Nude,On,0.3,2018-10-25T13:02:46Z,1
2018-10-25,13:03:16,32.5,47.2,51,43.6,32.4,Nude,On,0.3,2018-10-25T13:03:16Z,1
2018-10-25,13:03:46,32.4,47.3,50.9,43.2,32,Nude,On,0.3,2018-10-25T13:03:46Z,1
2018-10-25,13:04:16,32.5,47.4,51.1,43.4,32.2,Nude,On,0.3,2018-10-25T13:04:16Z,1
2018-10-25,13:04:46,32.5,47.2,51.5,43.6,32.1,Nude,On,0.3,2018-10-25T13:04:46Z,1
2018-10-25,13:05:16,32.4,47.5,51.2,43.5,32.2,Nude,On,0.3,2018-10-25T13:05:16Z,1
2018-10-25,13:05:46,32.6,47.4,51.7,43.7,32.3,Nude,On,0.3,2018-10-25T13:05:46Z,1
2018-10-25,13:06:16,32.3,47.4,51.5,43.4,32.2,Nude,On,0.3,2018-10-25T13:06:16Z,1
2018-10-25,13:06:46,32.5,47.8,51.6,43.6,32.1,Nude,On,0.3,2018-10-25T13:06:46Z,1
2018-10-25,13:07:16,32.7,47.8,51.5,43.7,32.2,Nude,On,0.3,2018-10-25T13:07:16Z,1
2018-10-25,13:07:46,32.5,47.8,51.7,43.6,32,Nude,On,0.3,2018-10-25T13:07:46Z,1
2018-10-25,13:08:16,32.5,48.1,52.1,43.6,32,Nude,On,0.3,2018-10-25T13:08:16Z,1
2018-10-25,13:08:46,32.3,48,51.9,43.6,31.9,Nude,On,0.3,2018-10-25T13:08:46Z,1
2018-10-25,13:09:16,32.7,48,52,43.7,32,Nude,On,0.3,2018-10-25T13:09:16Z,1
2018-10-25,13:09:46,32.7,48.2,52,43.7,32,Nude,On,0.3,2018-10-25T13:09:46Z,1
2018-10-25,13:10:16,32.7,47.6,52.1,43.8,32.1,Nude,On,0.3,2018-10-25T13:10:16Z,1
2018-10-25,13:10:46,32.6,48,51.9,43.8,32,Nude,On,0.3,2018-10-25T13:10:46Z,1
2018-10-25,13:11:16,32.3,48.2,51.9,43.6,31.9,Nude,On,0.3,2018-10-25T13:11:16Z,1
2018-10-25,13:11:46,32.5,48.4,52,43.5,32.1,Nude,On,0.3,2018-10-25T13:11:46Z,1
2018-10-25,13:12:16,32.5,48,51.9,43.8,32.2,Nude,On,0.3,2018-10-25T13:12:16Z,1
2018-10-25,13:12:46,32.7,48,52.3,44,32.2,Nude,On,0.3,2018-10-25T13:12:46Z,1
2018-10-25,13:13:16,32.7,48,52.2,43.6,31.8,Nude,On,0.3,2018-10-25T13:13:16Z,1
2018-10-25,13:13:46,32.7,47.9,52,43.7,31.9,Nude,On,0.3,2018-10-25T13:13:46Z,1
2018-10-25,13:14:16,32.5,48.3,52.4,43.7,31.9,Nude,On,0.3,2018-10-25T13:14:16Z,1
2018-10-25,13:14:46,32.5,48.1,52.3,43.7,32.1,Nude,On,0.3,2018-10-25T13:14:46Z,1
2018-10-25,13:15:16,32.8,48.1,51.9,43.7,31.8,Nude,On,0.3,2018-10-25T13:15:16Z,1
2018-10-25,13:15:46,32.8,48.5,52.4,44,32.1,Nude,On,0.3,2018-10-25T13:15:46Z,1
2018-10-25,13:16:16,32.8,48.1,52.3,43.9,32,Nude,On,0.3,2018-10-25T13:16:16Z,1
2018-10-25,13:16:46,32.6,48.6,52.4,43.7,32.1,Nude,On,0.3,2018-10-25T13:16:46Z,1
2018-10-25,13:17:16,32.7,48.4,52.9,44,32,Nude,On,0.3,2018-10-25T13:17:16Z,1
2018-10-25,13:17:46,32.4,48.2,52.6,44,31.9,Nude,On,0.3,2018-10-25T13:17:46Z,1
2018-10-25,13:18:16,32.9,48.9,52.6,44.1,32.2,Nude,On,0.3,2018-10-25T13:18:16Z,1
2018-10-25,13:18:46,32.7,48.6,52.8,44,32,Nude,On,0.3,2018-10-25T13:18:46Z,1
2018-10-25,13:19:16,32.6,49.1,53,43.9,32.1,Nude,On,0.3,2018-10-25T13:19:16Z,1
2018-10-25,13:19:46,32.8,48.7,53.1,44.1,31.9,Nude,On,0.3,2018-10-25T13:19:46Z,1
2018-10-25,13:20:16,33,48.8,53.3,44.2,32.2,Nude,On,0.3,2018-10-25T13:20:16Z,1
2018-10-25,13:20:46,32.6,48.7,52.8,44,32,Nude,On,0.3,2018-10-25T13:20:46Z,1
2018-10-25,13:21:16,32.7,48.9,53.2,44.2,31.9,Nude,On,0.3,2018-10-25T13:21:16Z,1
2018-10-25,13:21:46,32.9,48.7,52.7,44.1,32,Nude,On,0.3,2018-10-25T13:21:46Z,1
2018-10-25,13:22:16,32.9,48.5,52.6,44.2,32,Nude,On,0.3,2018-10-25T13:22:16Z,1
2018-10-25,13:22:46,32.5,48.5,53.4,44.1,31.8,Nude,On,0.3,2018-10-25T13:22:46Z,1
2018-10-25,13:23:16,32.6,48.6,52.9,44.1,31.8,Nude,On,0.3,2018-10-25T13:23:16Z,1
2018-10-25,13:23:46,32.6,48.7,52.7,43.8,32,Nude,On,0.3,2018-10-25T13:23:46Z,1
2018-10-25,13:24:16,32.7,48.7,53.1,43.9,32.1,Nude,On,0.3,2018-10-25T13:24:16Z,1
