Thermocouple,Wig,Radiation,WindSpeed,mean,median
1,Nude,On,0.3,32.89523809523809,32.9
1,Nude,On,1,28.94047619047619,28.9
1,Nude,On,2.5,25.652380952380952,25.8
1,Nude,Off,0.3,32.83095238095238,32.8
1,Nude,Off,1,28.01904761904762,27.9
1,Nude,Off,2.5,26.23015873015873,26.4
1,HighCurv,On,0.3,38.904761904761905,38.95
1,HighCurv,On,1,39.904761904761905,31.549999999999997
1,HighCurv,On,2.5,498.6666666666667,436.7
1,HighCurv,Off,0.3,38.76428571428571,38.75
1,HighCurv,Off,1,31.978571428571428,31.45
1,HighCurv,Off,2.5,27.919047619047618,27.9
1,MidCurv,On,0.3,37.852380952380955,37.9
1,MidCurv,On,1,119.29565217391304,35
1,MidCurv,On,2.5,33.53333333333333,33.45
1,MidCurv,Off,0.3,35.576190476190476,35.55
1,MidCurv,Off,1,426.95,33.1
1,MidCurv,Off,2.5,32.80952380952381,32.900000000000006
1,LowCurv,On,0.3,35.17619047619048,35.150000000000006
1,LowCurv,On,1,36.83809523809524,36
1,LowCurv,On,2.5,36.94761904761905,36.9
1,LowCurv,Off,0.3,34.40952380952381,34.4
1,LowCurv,Off,1,936.5333333333333,936
1,LowCurv,Off,2.5,371.5357142857143,59.45
2,Nude,On,0.3,48.65,48.7
2,Nude,On,1,39.96666666666667,39.95
2,Nude,On,2.5,34.64047619047619,34.7
2,Nude,Off,0.3,37.24285714285714,37.3
2,Nude,Off,1,30.214285714285715,30.3
2,Nude,Off,2.5,28.58730158730159,28.7
2,HighCurv,On,0.3,49.2,49.3
2,HighCurv,On,1,42.18333333333333,42.05
2,HighCurv,On,2.5,42.42142857142857,42.400000000000006
2,HighCurv,Off,0.3,46.00238095238095,45.95
2,HighCurv,Off,1,39.95,39.95
2,HighCurv,Off,2.5,40.67142857142857,40.7
2,MidCurv,On,0.3,50.833333333333336,50.849999999999994
2,MidCurv,On,1,48.917391304347824,48.7
2,MidCurv,On,2.5,50.6047619047619,50.599999999999994
2,MidCurv,Off,0.3,42.28333333333333,42.2
2,MidCurv,Off,1,39.96153846153846,39.8
2,MidCurv,Off,2.5,43.50238095238095,43.55
2,LowCurv,On,0.3,46.73095238095238,46.75
2,LowCurv,On,1,44.17142857142857,44.099999999999994
2,LowCurv,On,2.5,47.82380952380952,47.8
2,LowCurv,Off,0.3,39.128571428571426,39.1
2,LowCurv,Off,1,37.88095238095238,37.9
2,LowCurv,Off,2.5,39.602380952380955,39.6
3,Nude,On,0.3,52.82142857142857,52.9
3,Nude,On,1,47.423809523809524,47.4
3,Nude,On,2.5,39.98095238095238,40
3,Nude,Off,0.3,36.58095238095238,36.6
3,Nude,Off,1,31.40714285714286,31.4
3,Nude,Off,2.5,29.58730158730159,29.8
3,HighCurv,On,0.3,48.042857142857144,48.099999999999994
3,HighCurv,On,1,46.226190476190474,46.150000000000006
3,HighCurv,On,2.5,47.74761904761905,47.8
3,HighCurv,Off,0.3,44.042857142857144,44.05
3,HighCurv,Off,1,40.65714285714286,40.7
3,HighCurv,Off,2.5,44.86190476190476,44.9
3,MidCurv,On,0.3,50.423809523809524,50.45
3,MidCurv,On,1,48.2,48
3,MidCurv,On,2.5,50.85,50.849999999999994
3,MidCurv,Off,0.3,42.02619047619048,41.95
3,MidCurv,Off,1,39.348076923076924,39.2
3,MidCurv,Off,2.5,43.076190476190476,43.1
3,LowCurv,On,0.3,47.30952380952381,47.3
3,LowCurv,On,1,45.43095238095238,45.349999999999994
3,LowCurv,On,2.5,51.595238095238095,51.6
3,LowCurv,Off,0.3,40.01428571428571,39.9
3,LowCurv,Off,1,37.70476190476191,37.7
3,LowCurv,Off,2.5,40.98571428571429,41
4,Nude,On,0.3,44.114285714285714,44.1
4,Nude,On,1,40.990476190476194,41
4,Nude,On,2.5,38.28333333333333,38.3
4,Nude,Off,0.3,34.15238095238095,34.2
4,Nude,Off,1,30.44047619047619,30.4
4,Nude,Off,2.5,30.03968253968254,30
4,HighCurv,On,0.3,40.964285714285715,41
4,HighCurv,On,1,38.48809523809524,38.5
4,HighCurv,On,2.5,39.333333333333336,39.349999999999994
4,HighCurv,Off,0.3,39.06666666666667,39.1
4,HighCurv,Off,1,36.73571428571429,36.75
4,HighCurv,Off,2.5,38.147619047619045,38.1
4,MidCurv,On,0.3,43.44285714285714,43.5
4,MidCurv,On,1,40.03478260869565,40
4,MidCurv,On,2.5,40.62380952380953,40.599999999999994
4,MidCurv,Off,0.3,40.588095238095235,40.6
4,MidCurv,Off,1,36.96346153846154,36.9
4,MidCurv,Off,2.5,39.52142857142857,39.5
4,LowCurv,On,0.3,42.18571428571428,42.15
4,LowCurv,On,1,40.46904761904762,40.45
4,LowCurv,On,2.5,40.44285714285714,40.4
4,LowCurv,Off,0.3,40.838095238095235,40.9
4,LowCurv,Off,1,36.79047619047619,36.8
4,LowCurv,Off,2.5,38.404761904761905,38.400000000000006
