Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T14:19:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:19:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:19:46Z,1,Nude,3,47.2,On,1
2018-10-23T14:19:46Z,1,Nude,4,41.1,On,1
2018-10-23T14:20:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:20:16Z,1,Nude,2,39.7,On,1
2018-10-23T14:20:16Z,1,Nude,3,47,On,1
2018-10-23T14:20:16Z,1,Nude,4,41.1,On,1
2018-10-23T14:20:46Z,1,Nude,1,29,On,1
2018-10-23T14:20:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:20:46Z,1,Nude,3,47.4,On,1
2018-10-23T14:20:46Z,1,Nude,4,41.1,On,1
2018-10-23T14:21:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:21:16Z,1,Nude,2,39.8,On,1
2018-10-23T14:21:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:21:16Z,1,Nude,4,41.4,On,1
2018-10-23T14:21:46Z,1,Nude,1,29,On,1
2018-10-23T14:21:46Z,1,Nude,2,39.6,On,1
2018-10-23T14:21:46Z,1,Nude,3,46.9,On,1
2018-10-23T14:21:46Z,1,Nude,4,41.3,On,1
2018-10-23T14:22:16Z,1,Nude,1,29,On,1
2018-10-23T14:22:16Z,1,Nude,2,39.6,On,1
2018-10-23T14:22:16Z,1,Nude,3,46.9,On,1
2018-10-23T14:22:16Z,1,Nude,4,41.4,On,1
2018-10-23T14:22:46Z,1,Nude,1,28.7,On,1
2018-10-23T14:22:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:22:46Z,1,Nude,3,46.7,On,1
2018-10-23T14:22:46Z,1,Nude,4,41.4,On,1
2018-10-23T14:23:16Z,1,Nude,1,29,On,1
2018-10-23T14:23:16Z,1,Nude,2,39.7,On,1
2018-10-23T14:23:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:23:16Z,1,Nude,4,41.2,On,1
2018-10-23T14:23:46Z,1,Nude,1,29,On,1
2018-10-23T14:23:46Z,1,Nude,2,40.1,On,1
2018-10-23T14:23:46Z,1,Nude,3,47.1,On,1
2018-10-23T14:23:46Z,1,Nude,4,40.9,On,1
2018-10-23T14:24:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:24:16Z,1,Nude,2,40.1,On,1
2018-10-23T14:24:16Z,1,Nude,3,47.3,On,1
2018-10-23T14:24:16Z,1,Nude,4,40.9,On,1
2018-10-23T14:24:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:24:46Z,1,Nude,2,39.7,On,1
2018-10-23T14:24:46Z,1,Nude,3,47.1,On,1
2018-10-23T14:24:46Z,1,Nude,4,40.8,On,1
2018-10-23T14:25:16Z,1,Nude,1,29,On,1
2018-10-23T14:25:16Z,1,Nude,2,39.9,On,1
2018-10-23T14:25:16Z,1,Nude,3,47,On,1
2018-10-23T14:25:16Z,1,Nude,4,40.9,On,1
2018-10-23T14:25:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:25:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:25:46Z,1,Nude,3,47,On,1
2018-10-23T14:25:46Z,1,Nude,4,41,On,1
2018-10-23T14:26:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:26:16Z,1,Nude,2,40.2,On,1
2018-10-23T14:26:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:26:16Z,1,Nude,4,41,On,1
2018-10-23T14:26:46Z,1,Nude,1,29,On,1
2018-10-23T14:26:46Z,1,Nude,2,40.1,On,1
2018-10-23T14:26:46Z,1,Nude,3,47.3,On,1
2018-10-23T14:26:46Z,1,Nude,4,41.2,On,1
2018-10-23T14:27:16Z,1,Nude,1,29,On,1
2018-10-23T14:27:16Z,1,Nude,2,40,On,1
2018-10-23T14:27:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:27:16Z,1,Nude,4,41.3,On,1
2018-10-23T14:27:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:27:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:27:46Z,1,Nude,3,47.2,On,1
2018-10-23T14:27:46Z,1,Nude,4,41.2,On,1
2018-10-23T14:28:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:28:16Z,1,Nude,2,39.9,On,1
2018-10-23T14:28:16Z,1,Nude,3,47,On,1
2018-10-23T14:28:16Z,1,Nude,4,41.2,On,1
2018-10-23T14:28:46Z,1,Nude,1,29,On,1
2018-10-23T14:28:46Z,1,Nude,2,39.9,On,1
2018-10-23T14:28:46Z,1,Nude,3,47.3,On,1
2018-10-23T14:28:46Z,1,Nude,4,41.5,On,1
2018-10-23T14:29:16Z,1,Nude,1,29,On,1
