Wig,Radiation,Windspeed,Trial,HeatLoss
Nude,Off,0.3,1,152.1
Nude,Off,0.3,2,152.1
Nude,Off,0.3,3,152.1
Nude,On,0.3,1,88
Nude,On,0.3,2,88
Nude,On,0.3,3,88
Nude,Off,1,1,254.5
Nude,Off,1,2,254.5
Nude,Off,1,3,254.5
Nude,On,1,1,227
Nude,On,1,2,227
Nude,On,1,3,227
Nude,Off,2.5,1,284.6
Nude,Off,2.5,2,284.6
Nude,Off,2.5,3,284.6
Nude,On,2.5,1,284.8
Nude,On,2.5,2,284.8
Nude,On,2.5,3,284.8
LowCurv,Off,0.3,1,71.1
LowCurv,Off,0.3,2,63.8
LowCurv,Off,0.3,3,67.45
LowCurv,On,0.3,1,30
LowCurv,On,0.3,2,27.6
LowCurv,On,0.3,3,28.8
LowCurv,Off,1,1,103.1
LowCurv,Off,1,2,102.8
LowCurv,Off,1,3,102.95
LowCurv,On,1,1,73.3
LowCurv,On,1,2,80.9
LowCurv,On,1,3,77.1
LowCurv,Off,2.5,1,149.4
LowCurv,Off,2.5,2,163.5
LowCurv,Off,2.5,3,156.45
LowCurv,On,2.5,1,137.5
LowCurv,On,2.5,2,137.4
LowCurv,On,2.5,3,137.45
MidCurv,Off,0.3,1,60.4
MidCurv,Off,0.3,2,54.6
MidCurv,Off,0.3,3,57.5
MidCurv,On,0.3,1,26.6
MidCurv,On,0.3,2,21.7
MidCurv,On,0.3,3,24.15
MidCurv,Off,1,1,90.4
MidCurv,Off,1,2,89.8
MidCurv,Off,1,3,90.1
MidCurv,On,1,1,64
MidCurv,On,1,2,68
MidCurv,On,1,3,66
MidCurv,Off,2.5,1,138.1
MidCurv,Off,2.5,2,141.7
MidCurv,Off,2.5,3,139.9
MidCurv,On,2.5,1,133.1
MidCurv,On,2.5,2,129.8
MidCurv,On,2.5,3,131.45
HighCurv,Off,0.3,1,60.4
HighCurv,Off,0.3,2,56.2
HighCurv,Off,0.3,3,58.3
HighCurv,On,0.3,1,16.3
HighCurv,On,0.3,2,16.5
HighCurv,On,0.3,3,16.4
HighCurv,Off,1,1,79.8
HighCurv,Off,1,2,75.5
HighCurv,Off,1,3,77.65
HighCurv,On,1,1,55.6
HighCurv,On,1,2,53
HighCurv,On,1,3,54.3
HighCurv,Off,2.5,1,128.5
HighCurv,Off,2.5,2,113.7
HighCurv,Off,2.5,3,121.1
HighCurv,On,2.5,1,149
HighCurv,On,2.5,2,109.7
HighCurv,On,2.5,3,110
