Wig,Radiation,Windspeed,RoomConditions,Date,TimeStarted,TimeEnded,Trial
Nude,On,1,regular,10/23/18,13:41:11,15:29:02,1
Nude,On,2.5,regular,10/23/18,14:34:19,16:16:56,1
Nude,Off,2.5,regular,10/23/18,15:33:26,17:16:36,1
Nude,Off,1,regular,10/23/18,16:18:38,18:10:22,1
Nude,Off,0.3,regular,10/23/18,17:12:31,18:59:58,1
LowCurv,Off,0.3,regular,10/23/18,19:12:07,21:12:12,1
LowCurv,Off,1,regular,10/23/18,20:13:51,21:58:58,1
LowCurv,Off,2.5,regular,10/23/18,21:01:02,22:46:06,1
LowCurv,On,2.5,regular,10/24/18,09:07:48,10:49:34,1
LowCurv,On,1,regular,10/24/18,09:50:54,11:33:24,1
LowCurv,On,0.3,regular,10/24/18,10:59:01,12:39:38,1
MidCurv,Off,2.5,regular,10/24/18,12:08:00,13:52:42,1
MidCurv,Off,1,regular,10/24/18,12:53:14,14:35:56,1
MidCurv,On,1,regular,10/24/18,13:38:18,15:34:00,1
MidCurv,On,2.5,regular,10/24/18,14:36:29,16:20:30,1
HighCurv,Off,1,regular,10/24/18,16:04:10,17:44:16,1
HighCurv,Off,2.5,regular,10/24/18,16:46:21,18:31:24,1
HighCurv,On,2.5,regular,10/24/18,17:32:10,19:21:00,1
HighCurv,On,1,regular,10/24/18,18:22:45,20:07:46,1
LowCurv,On,0.3,cold,10/25/18,11:11:06,12:56:18,1
LowCurv,Off,0.3,cold,10/25/18,11:59:09,13:44:26,1
Nude,On,0.3,cold,10/25/18,12:47:59,14:48:04,1
Nude,Off,0.3,cold,10/25/18,13:48:52,15:33:58,1
HighCurv,On,0.3,cold,10/25/18,14:37:22,16:25:42,1
HighCurv,Off,0.3,cold,10/25/18,15:26:38,17:11:52,1
MidCurv,On,0.3,cold,10/25/18,16:18:52,18:38:58,1
MidCurv,Off,0.3,cold,10/25/18,17:39:43,19:19:48,1
HighCurv,Off,2.5,regular,10/26/18,09:46:40,10:40:40,2
HighCurv,Off,1,regular,10/26/18,10:46:03,11:44:38,2
HighCurv,On,1,regular,10/26/18,11:53:15,12:35:32,2
HighCurv,On,2.5,regular,10/26/18,12:36:49,13:18:30,2
LowCurv,Off,2.5,regular,10/26/18,13:21:09,14:06:48,2
LowCurv,Off,1,regular,10/26/18,14:08:57,15:05:50,2
LowCurv,On,1,regular,10/26/18,15:07:43,15:52:54,2
LowCurv,On,2.5,regular,10/26/18,15:54:15,16:36:24,2
MidCurv,Off,2.5,regular,10/26/18,16:46:29,17:31:36,2
MidCurv,Off,1,regular,10/26/18,17:32:42,18:16:14,2
MidCurv,On,1,regular,10/26/18,18:17:48,19:10:38,2
MidCurv,On,2.5,regular,10/26/18,19:11:53,19:56:58,2
Nude,On,0.3,cold,10/28/18,09:30:53,10:18:26,2
Nude,Off,0.3,cold,10/28/18,10:18:51,11:03:56,2
HighCurv,Off,0.3,cold,10/28/18,11:06:50,11:52:40,2
HighCurv,On,0.3,cold,10/28/18,11:54:23,12:46:40,2
LowCurv,On,0.3,cold,10/28/18,12:48:21,13:49:52,2
LowCurv,Off,0.3,cold,10/28/18,13:50:41,14:37:58,2
MidCurv,Off,0.3,cold,10/28/18,14:41:00,15:41:12,2
MidCurv,On,0.3,cold,10/28/18,15:42:00,16:47:42,2
Nude,On,1,regular,10/29/18,08:05:17,09:14:26,2
Nude,On,2.5,regular,10/29/18,09:15:54,10:28:18,2
Nude,Off,2.5,regular,10/29/18,10:29:45,11:09:50,2
Nude,Off,1,regular,10/29/18,11:11:15,11:55:32,2
Nude,On,1,regular,10/29/18,11:57:36,12:48:16,3
Nude,On,2.5,regular,10/29/18,12:49:33,13:36:04,3
Nude,Off,2.5,regular,10/29/18,13:36:58,14:51:34,3
Nude,Off,1,regular,10/29/18,14:56:44,15:43:20,3
MidCurv,On,1,regular,10/29/18,15:46:25,16:37:04,3
MidCurv,On,2.5,regular,10/29/18,16:38:31,17:28:34,3
MidCurv,Off,1,regular,10/30/18,08:45:57,09:34:52,3
MidCurv,Off,2.5,regular,10/30/18,09:36:15,10:26:20,3
HighCurv,On,2.5,regular,10/30/18,10:40:26,11:41:00,3
HighCurv,On,1,regular,10/30/18,11:42:09,12:31:36,3
HighCurv,Off,1,regular,10/30/18,12:35:09,13:38:22,3
HighCurv,Off,2.5,regular,10/30/18,13:41:41,14:33:18,3
LowCurv,On,2.5,regular,10/30/18,14:35:05,15:47:48,3
LowCurv,On,1,regular,10/30/18,15:49:15,16:46:32,3
LowCurv,Off,1,regular,10/30/18,16:47:51,17:37:48,3
LowCurv,Off,2.5,regular,10/30/18,17:38:41,18:29:02,3
LowCurv,On,0.3,cold,10/31/18,09:00:02,10:00:08,3
LowCurv,Off,0.3,cold,10/31/18,10:01:01,10:47:32,3
Nude,On,0.3,cold,10/31/18,10:49:37,11:38:22,3
Nude,Off,0.3,cold,10/31/18,11:39:37,12:42:48,3
MidCurv,On,0.3,cold,10/31/18,12:45:09,13:55:04,3
MidCurv,Off,0.3,cold,10/31/18,13:55:58,14:39:58,3
HighCurv,On,0.3,cold,10/31/18,14:42:13,15:38:08,3
HighCurv,Off,0.3,cold,10/31/18,15:41:56,16:37:12,3
