Wig,Radiation,Windspeed,HeatLossOff,HeatLossOn,Trial,SolarInflux
HighCurv,Off,0.3,98.1,84.6,1,13.5
HighCurv,Off,1,94.6,75.5,1,19.1
HighCurv,Off,2.5,169.9,160,1,9.9
LowCurv,Off,0.3,87.2,24.6,1,62.6
LowCurv,Off,1,95.7,31.5,1,64.2
LowCurv,Off,2.5,158.7,114.6,1,44.1
MidCurv,Off,0.3,77.1,40.7,1,36.4
MidCurv,Off,1,91.5,54.7,1,36.8
MidCurv,Off,2.5,160.3,126.2,1,34.1
NoWig,Off,0.3,325.2,150,1,175.2
NoWig,Off,1,250.5,74.5,1,176
NoWig,Off,2.5,435.6,282.7,1,152.9
HighCurv,Off,0.3,114.9,91.1,2,23.8
HighCurv,Off,1,94.3,76.5,2,17.8
HighCurv,Off,2.5,164.9,153.4,2,11.5
LowCurv,Off,0.3,88,21.7,2,66.3
LowCurv,Off,1,92.1,27,2,65.1
LowCurv,Off,2.5,145.3,99.1,2,46.2
MidCurv,Off,0.3,86.4,44.4,2,42
MidCurv,Off,1,87.1,48.3,2,38.8
MidCurv,Off,2.5,151,119.1,2,31.9
NoWig,Off,0.3,329,160.8,2,168.2
NoWig,Off,1,246.4,84.1,2,162.3
NoWig,Off,2.5,449.5,280.3,2,169.2
HighCurv,Off,0.3,112.9,93.4,3,19.5
HighCurv,Off,1,88.9,73.3,3,15.6
HighCurv,Off,2.5,163.4,153,3,10.4
LowCurv,Off,0.3,87.1,26.8,3,60.3
LowCurv,Off,1,93,26.2,3,66.8
LowCurv,Off,2.5,144.4,102.2,3,42.2
MidCurv,Off,0.3,84.9,40.8,3,44.1
MidCurv,Off,1,85.4,52.4,3,33
MidCurv,Off,2.5,145.7,123.9,3,21.8
NoWig,Off,0.3,328.7,152.6,3,176.1
NoWig,Off,1,247.4,76.3,3,171.1
NoWig,Off,2.5,431.6,273.2,3,158.4
